"""James Scott ALLAN""","""John Andrew DIVERS""","""Graham LEADBITTER""","""John SHARP"""
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
