"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","State Measures Initiative Measure No. 1351 Concerns K-12 education","Yes","","1585","47.4835","State Measures"
"Adams","State Measures Initiative Measure No. 1351 Concerns K-12 education","No","","1753","52.5165","State Measures"
"Adams","State Measures Initiative Measure No. 591 Concerns firearms","Yes","","2003","59.988","State Measures"
"Adams","State Measures Initiative Measure No. 591 Concerns firearms","No","","1336","40.012","State Measures"
"Adams","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","Yes","","1488","43.8421","State Measures"
"Adams","State Measures Initiative Measure No. 594 Concerns background checks for firearm sales and transfers","No","","1906","56.1579","State Measures"
"Adams","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Repealed","","1894","59.8609","Advisory Votes"
"Adams","Advisory Votes Advisory Vote No. 8 (Senate Bill 6505) Concerns marijuana excise tax","Maintained","","1270","40.1391","Advisory Votes"
"Adams","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Repealed","","1785","58.4671","Advisory Votes"
"Adams","Advisory Votes Advisory Vote No. 9 (Engrossed Substitute House Bill 1287) Concerns leasehold excise tax on tribal property","Maintained","","1268","41.5329","Advisory Votes"
"Adams","Congressional District 4 U.S. Representative","Clint Didier","(Prefers Republican Party)","1908","58.8163","Congressional District 4"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","1336","41.1837","Congressional District 4"
"Adams","Legislative District 9 State Representative Pos. 1","Susan Fagan","(Prefers Republican Party)","2634","100","Legislative District 9"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers G.O.P. Party)","2588","100","Legislative District 9"
"Adams","ADAMS COUNTY Assessor","Sherri L. Brewer","(Prefers Republican Party)","2712","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY Auditor","Heidi K. Hunt","(Prefers Republican Party)","2703","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY Clerk","Susan K. Kirkendall","(Prefers Republican Party)","2692","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY County Commissioner District 3","Jeff Stevens","(Prefers Republican Party)","1830","57.7652","ADAMS COUNTY"
"Adams","ADAMS COUNTY County Commissioner District 3","Jessie (Weno) Dominguez ","(Prefers Republican Party)","1338","42.2348","ADAMS COUNTY"
"Adams","ADAMS COUNTY Prosecutor","Randy J. Flyckt","(Prefers Republican Party)","2449","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY Sheriff","John W Hunt","(Prefers Republican Party)","2597","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY Treasurer","Laura Danekas","(Prefers Republican Party)","2660","100","ADAMS COUNTY"
"Adams","Supreme Court Justice Position 1","Mary Yu","","2242","100","Supreme Court"
"Adams","Supreme Court Justice Position 3","Mary E. Fairhurst","","2248","100","Supreme Court"
"Adams","Supreme Court Justice Position 4","Eddie Yoon","","635","24.1813","Supreme Court"
"Adams","Supreme Court Justice Position 4","Charles W. Johnson","","1991","75.8187","Supreme Court"
"Adams","Supreme Court Justice Position 7","Debra L. Stephens","","2036","76.5989","Supreme Court"
"Adams","Supreme Court Justice Position 7","John (Zamboni) Scannell","","622","23.4011","Supreme Court"
"Adams","Adams Superior Court  Judge Position 1","Steve B. Dixon","","2354","100","Adams Superior Court "
"Adams","ADAMS COUNTY Othello District Court Judge","Gary J. Brueher","","1409","100","ADAMS COUNTY"
"Adams","ADAMS COUNTY Ritzville District Court Judge","Adalia A. Hille","","791","50.2222","ADAMS COUNTY"
"Adams","ADAMS COUNTY Ritzville District Court Judge","Carolyn J. Benzel","","784","49.7778","ADAMS COUNTY"
"Adams","HOSPITAL DISTRICT 2 Bonds to Renovate and Modernize East Adams Rural Hospital and Clinic Bonds to Renovate and Modernize East Adams Rural Hospital and Clinic","Approved","","951","61.4341","HOSPITAL DISTRICT 2"
"Adams","HOSPITAL DISTRICT 2 Bonds to Renovate and Modernize East Adams Rural Hospital and Clinic Bonds to Renovate and Modernize East Adams Rural Hospital and Clinic","Rejected","","597","38.5659","HOSPITAL DISTRICT 2"
"Adams","SCHOOL DISTRICT 122 - BENGE Maintenance and Operation Levy Maintenance and Operation Levy","Approved","","21","95.4545","SCHOOL DISTRICT 122 - BENGE"
"Adams","SCHOOL DISTRICT 122 - BENGE Maintenance and Operation Levy Maintenance and Operation Levy","Rejected","","1","4.5455","SCHOOL DISTRICT 122 - BENGE"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy ","Approved","","8","100","FIRE DISTRICT 4"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy ","Rejected","","0","0","FIRE DISTRICT 4"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy Maintenance and Operation Levy","Approved","","226","67.0623","CEMETERY DISTRICT 3"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy Maintenance and Operation Levy","Rejected","","111","32.9377","CEMETERY DISTRICT 3"
"Asotin","State Measures Initiative Measure No. 1351 Concerns K-12 education","Yes","","3710","50.237","State Measures"
"Asotin","State Measures Initiative Measure No. 1351 Concerns K-12 education","No","","3675","49.763","State Measures"
