CO,JUR,CNTYNAME,DATE,PLACE,OFFICE,AREA,TERM,LASTNAME,FIRSTNAME,BALDESIG,INCUMB,CAND#,VOTES,TOTVOTES,PERCENT,ELECTED
1,2,ALAMEDA,1995-06-06,FREMONT,CITY COUNCIL,,Full,Zager,Jonelle Joan,Business Person,No,4,4903,10753,0.456,Yes
1,2,ALAMEDA,1995-06-06,FREMONT,CITY COUNCIL,,Full,Wilkowsky,Dan,Environmental Engineering Manager,No,4,3954,10753,0.368,No
1,2,ALAMEDA,1995-06-06,FREMONT,CITY COUNCIL,,Full,Petersen,James P.,Local Business Owner,No,4,1485,10753,0.138,No
1,2,ALAMEDA,1995-06-06,FREMONT,CITY COUNCIL,,Full,Batara,Lindy G.,Educator/Economist/Paralegal,No,4,411,10753,0.038,No
1,2,ALAMEDA,1995-11-07,LIVERMORE,CITY COUNCIL,,Full,Vargas,Tom,Councilmember/Local Businessman,Yes,4,6023,19588,0.307,Yes
1,2,ALAMEDA,1995-11-07,LIVERMORE,CITY COUNCIL,,Full,Wieskamp,Ayn,Councilmember,Yes,4,5139,19588,0.262,Yes
1,2,ALAMEDA,1995-11-07,LIVERMORE,CITY COUNCIL,,Full,Ferrucci,Michael F.,Businessman/Volunteer,No,4,4237,19588,0.216,No
1,2,ALAMEDA,1995-11-07,LIVERMORE,CITY COUNCIL,,Full,Billheimer,John A.,Small Business Owner,No,4,4189,19588,0.214,No
1,2,ALAMEDA,1995-11-07,LIVERMORE,CITY MAYOR,,Full,Brown,Cathie,Mayor,Yes,1,8130,8130,1.0,Yes
1,2,ALAMEDA,1995-11-07,NEWARK,CITY COUNCIL,,Full,Johnson,Susan,Small Business Owner,No,5,2398,6729,0.356,Yes
1,2,ALAMEDA,1995-11-07,NEWARK,CITY COUNCIL,,Full,Freitas,Luis L.,Business Owner,No,5,1559,6729,0.232,Yes
1,2,ALAMEDA,1995-11-07,NEWARK,CITY COUNCIL,,Full,Salinas,Vincent B.,Councilman/Financial Analyst,Yes,5,1547,6729,0.23,No
1,2,ALAMEDA,1995-11-07,NEWARK,CITY COUNCIL,,Full,Dane,Jack,"Manager, Tax Preparer",No,5,643,6729,0.096,No
1,2,ALAMEDA,1995-11-07,NEWARK,CITY COUNCIL,,Full,Hentschke,Eric A.,Science Teacher,No,5,582,6729,0.086,No
1,2,ALAMEDA,1995-11-07,NEWARK,CITY MAYOR,,Full,Smith,David W.,Mayor,Yes,2,3069,3636,0.844,Yes
1,2,ALAMEDA,1995-11-07,NEWARK,CITY MAYOR,,Full,Moreno,Emma,Student,No,2,567,3636,0.156,No
1,2,ALAMEDA,1995-11-07,UNION CITY,CITY COUNCIL,,Full,Elias,Benjamin,Councilmember/Businessman,Yes,3,3093,5703,0.542,Yes
1,2,ALAMEDA,1995-11-07,UNION CITY,CITY COUNCIL,,Full,Delucchi,Steven M.,Attorney At Law,No,3,1981,5703,0.347,No
1,2,ALAMEDA,1995-11-07,UNION CITY,CITY COUNCIL,,Full,Wargo,Leonard A.,Aircraft Mechanic,No,3,629,5703,0.11,No
1,2,ALAMEDA,1995-11-07,UNION CITY,CITY MAYOR,,Full,Green,Mark,Mayor/Businessowner,Yes,2,3616,5823,0.621,Yes
1,2,ALAMEDA,1995-11-07,UNION CITY,CITY MAYOR,,Full,Arce,Alice,City Councilmember,No,2,2207,5823,0.379,No
7,2,CONTRA COSTA,1995-06-06,BRENTWOOD,CITY COUNCIL,,Full,Morrill,John,No Ballot Designation,No,2,485,754,0.643,Yes
7,2,CONTRA COSTA,1995-06-06,BRENTWOOD,CITY COUNCIL,,Full,Tennies,Glenn C.,No Ballot Designation,No,2,269,754,0.357,No
7,2,CONTRA COSTA,1995-11-07,CONCORD,CITY COUNCIL,,Full,Peterson,Mark Allen,Deputy District Attorney,No,5,8904,27992,0.318,Yes
7,2,CONTRA COSTA,1995-11-07,CONCORD,CITY COUNCIL,,Full,McManigal,William L.,Incumbent/Financial Consultant,Yes,5,7466,27992,0.267,Yes
7,2,CONTRA COSTA,1995-11-07,CONCORD,CITY COUNCIL,,Full,Bjerke,Guy Steven,Non-Profit Association Executive,No,5,5491,27992,0.196,No
7,2,CONTRA COSTA,1995-11-07,CONCORD,CITY COUNCIL,,Full,Killoran,James Scott,Financial Analyst,No,5,4400,27992,0.157,No
7,2,CONTRA COSTA,1995-11-07,CONCORD,CITY COUNCIL,,Full,Gebhart,Daniel R.,Computer Consultant,No,5,1731,27992,0.062,No
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,Greenberg,Mildred S.,Danville Councilmember/Incumbent,Yes,6,7915,30019,0.264,Yes
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,Arnerich,Newell Kenneth,"Architect, Planning Commissioner",No,6,6618,30019,0.22,Yes
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,Doyle,Michael J.,Incumbent,Yes,6,4963,30019,0.165,Yes
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,De Atley,Gary Gray,"Businessman, Museum Trustee",No,6,4822,30019,0.161,No
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,Groman,Regina F.,Business Administrator,No,6,2888,30019,0.096,No
7,2,CONTRA COSTA,1995-11-07,DANVILLE,CITY COUNCIL,,Full,Yanker-Hansen,Kristin,"Businesswoman, Garden Consultant",No,6,2813,30019,0.094,No
7,2,CONTRA COSTA,1995-11-07,EL CERRITO,CITY COUNCIL,,Full,La Force,Norman Charles,Incumbent,Yes,3,3369,9319,0.362,Yes
7,2,CONTRA COSTA,1995-11-07,EL CERRITO,CITY COUNCIL,,Full,Bartke,Jane A.,Incumbent,Yes,3,3307,9319,0.355,Yes
7,2,CONTRA COSTA,1995-11-07,EL CERRITO,CITY COUNCIL,,Full,Stark,Thomas E.,Computer Consultant/Journalist,No,3,2643,9319,0.284,No
7,2,CONTRA COSTA,1995-11-07,LAFAYETTE,CITY COUNCIL,,Full,Grodin,Anne F.,Incumbent,Yes,4,5168,16566,0.312,Yes
7,2,CONTRA COSTA,1995-11-07,LAFAYETTE,CITY COUNCIL,,Full,Uilkema,Gayle B.,Incumbent,Yes,4,4907,16566,0.296,Yes
7,2,CONTRA COSTA,1995-11-07,LAFAYETTE,CITY COUNCIL,,Full,Horn,Erling L.,Planning Commissioner/Businessman,No,4,4652,16566,0.281,Yes
7,2,CONTRA COSTA,1995-11-07,LAFAYETTE,CITY COUNCIL,,Full,Polse,Maury Alvin,Businessman,No,4,1839,16566,0.111,No
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,Glover,Federal D.,Supervisor Chemical Plant,No,6,2921,10285,0.284,Yes
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,Anzini,Lori G.,School Board Trustee,No,6,2056,10285,0.2,Yes
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,Johnson,Ben R.,Regional Sales Manager,No,6,1552,10285,0.151,No
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,"Aiello, Jr.",Frank R.,"Grocery Clerk, Consultant",No,6,1434,10285,0.139,No
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,Gordon,Frank Dale,Planning Commissioner,No,6,1396,10285,0.136,No
7,2,CONTRA COSTA,1995-11-07,PITTSBURG,CITY COUNCIL,,Full,Turner,Darnell,Program Manager,No,6,926,10285,0.09,No
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Escover,Charles Clifford,Deputy Sheriff,No,8,3147,14265,0.221,Yes
7,2,CONTRA COSTA,1995-11-07,PLEASANT HILL,CITY COUNCIL,,Full,Mace,Delos McKenney,Planning Commissioner,No,8,2766,14256,0.194,Yes
