RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,Num_Inc,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,RVOTES,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,total_writein,multitotal_votes,newtotvotes,Rindivto,newelected
200800001,200800001,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Haggerty,Scott Patrick,Member/Alameda County Board of Supervisors/District 1,Y,1,1,"29,763",492,"29,763","30,255",0.9837,1,1,,0,200800001,200800001,0,"29,763",492,"29,763","30,255",1,1
200800002,200800002,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Miley,Nate,Alameda County Supervisor,Y,1,2,"25,994",193,"34,420","34,613",0.7510,1,1,,0,200800002,200800002,0,"25,994",193,"34,420","34,613",1,1
200800003,200800002,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,White,Steve,Retired Business Owner,N,2,2,"8,426",193,"34,420","34,613",0.2434,2,2,,0,200800002,200800003,0,"8,426",193,"34,420","34,613",2,2
200800004,200800003,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Carson,Keith,Alameda County Board of Supervisors/District 5,Y,1,1,"42,772",644,"42,772","43,416",0.9852,1,1,,0,200800003,200800004,0,"42,772",644,"42,772","43,416",1,1
200800005,200800004,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Daly,Phil,Deputy District Attorney,N,2,4,"45,020","1,013","176,176","177,189",0.2541,2,3,1,1,200800004,200800005,0,"45,020","1,013","176,176","177,189",2,3
200800006,200800004,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Hayashi,Dennis,Public Interest Attorney,N,2,4,"77,550","1,013","176,176","177,189",0.4377,1,3,1,1,200800004,200800006,0,"77,550","1,013","176,176","177,189",1,3
200800007,200800004,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Kolakowski,Victoria S.,Administrative Law Judge,N,2,4,"35,149","1,013","176,176","177,189",0.1984,3,2,,0,200800004,200800007,0,"35,149","1,013","176,176","177,189",3,2
200800008,200800004,1,1,ALAMEDA,2008,2008-06-03,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Reid,Dennis,Criminal Law Attorney,N,2,4,"18,457","1,013","176,176","177,189",0.1042,4,2,,0,200800004,200800008,0,"18,457","1,013","176,176","177,189",4,2
200800009,200800005,1,1,ALAMEDA,2008,2008-11-04,1,DUBLIN-SAN RAMON SD,"DIRECTOR, DUBLIN-SAN RAMON SD",4,CSD/CSA DIRECTOR,,Full,1,Halket,Richard,Incumbent,Y,1,4,"7,765",155,"28,082","28,237",0.2750,1,1,1,0,200800005,200800009,0,"7,765",155,"28,082","28,237",1,1
200800010,200800005,1,1,ALAMEDA,2008,2008-11-04,1,DUBLIN-SAN RAMON SD,"DIRECTOR, DUBLIN-SAN RAMON SD",4,CSD/CSA DIRECTOR,,Full,1,Howard,"Dwight L. ""Pat""",Incumbent,Y,1,4,"7,370",155,"28,082","28,237",0.2610,3,2,,0,200800005,200800010,0,"7,370",155,"28,082","28,237",3,2
200800011,200800005,1,1,ALAMEDA,2008,2008-11-04,1,DUBLIN-SAN RAMON SD,"DIRECTOR, DUBLIN-SAN RAMON SD",4,CSD/CSA DIRECTOR,,Full,1,Pulice,David,Senior Control Engineer,N,2,4,"5,381",155,"28,082","28,237",0.1906,4,2,,0,200800005,200800011,0,"5,381",155,"28,082","28,237",4,2
200800012,200800005,1,1,ALAMEDA,2008,2008-11-04,1,DUBLIN-SAN RAMON SD,"DIRECTOR, DUBLIN-SAN RAMON SD",4,CSD/CSA DIRECTOR,,Full,1,Scannell,Dan,Senior Policy Analyst,N,2,4,"7,566",155,"28,082","28,237",0.2679,2,2,1,0,200800005,200800012,0,"7,566",155,"28,082","28,237",2,2
200800013,200800006,1,1,ALAMEDA,2008,2008-11-04,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Daly,Phil,Deputy District Attorney,N,2,2,"188,201","4,720","498,097","502,817",0.3743,2,2,,0,200800006,200800013,0,"188,201","4,720","498,097","502,817",2,2
200800014,200800006,1,1,ALAMEDA,2008,2008-11-04,0,ALAMEDA,SUPERIOR JUDGE,5,OTHER COUNTY OFFICE,9,Full,1,Hayashi,Dennis,Public Interest Attorney,N,2,2,"309,896","4,720","498,097","502,817",0.6163,1,1,,0,200800006,200800014,0,"309,896","4,720","498,097","502,817",1,1
200800015,200800007,2,1,ALPINE,2008,2008-06-03,0,ALPINE,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Veatch,"Henry ""Skip""",Incumbent,Y,1,1,77,12,77,89,0.8652,1,1,,0,200800007,200800015,0,77,12,77,89,1,1
200800016,200800008,2,1,ALPINE,2008,2008-06-03,0,ALPINE,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Bennett,Phillip D.,Incumbent,Y,1,1,25,20,25,45,0.5556,1,1,,0,200800008,200800016,0,25,20,25,45,1,1
