RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RACEID,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Totalwritein_votes,Newtotvotes,Rindivto,Newelected
201100182,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Stevens,Mike,"Business Owner, Analyst",N,2,7,903,0,2791,2791,0.32354,1,157,1.0,0,0,201100041,201100182,0,903,2791,0,2791,1.0,1
201100183,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Petty,Elliott,Non-Profit Director,N,2,7,655,0,2791,2791,0.234683,1,157,2.0,0,0,201100041,201100183,0,655,2791,0,2791,2.0,1
201100184,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Ford,Felicia,Executive Director CEO,N,2,7,388,0,2791,2791,0.139018,2,157,3.0,0,0,201100041,201100184,0,388,2791,0,2791,3.0,2
201100185,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Griffin,Morris,Maintenance Technician,N,2,7,301,0,2791,2791,0.107847,2,157,4.0,0,0,201100041,201100185,0,301,2791,0,2791,4.0,2
201100186,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Burt,James H.,Retired Electrical Contractor,N,2,7,284,0,2791,2791,0.101756,2,157,5.0,0,0,201100041,201100186,0,284,2791,0,2791,5.0,2
201100187,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Giardina,Cindy,Deputy Probation Officer II,N,2,7,156,0,2791,2791,0.055894,2,157,6.0,0,0,201100041,201100187,0,156,2791,0,2791,6.0,2
201100188,20110157,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,City Council,2,City Council,1,Full,2,Fisher,Leroy,Retired Graphic Arts,N,2,7,104,0,2791,2791,0.037263,2,157,7.0,0,0,201100041,201100188,0,104,2791,0,2791,7.0,2
201100189,20110164,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,Mayor,6,Other City Office,,Full,1,"Butts, Jr.",James T.,Retired Police Chief,N,2,2,3776,0,6780,6780,0.556932,1,164,1.0,0,0,201100042,201100189,0,3776,6780,0,6780,1.0,1
201100190,20110164,19,2,LOS ANGELES,2011,2011-01-11,Inglewood,0,Mayor,6,Other City Office,,Full,1,Tabor,Daniel K.,"Mayor, City of Inglewood",Y,1,2,3004,0,6780,6780,0.443068,2,164,2.0,0,0,201100042,201100190,0,3004,6780,0,6780,2.0,2
201100191,20110166,19,2,LOS ANGELES,2011,2011-02-22,Burbank,0,City Council,2,City Council,,Full,2,Bric,Gary,Incumbent,Y,1,4,4658,0,13741,13741,0.338986,1,166,1.0,0,0,201100043,201100191,0,4658,13741,0,13741,1.0,1
201100192,20110166,19,2,LOS ANGELES,2011,2011-02-22,Burbank,0,City Council,2,City Council,,Full,2,Gabel-Luddy,Emily,City Planner,N,2,4,3858,0,13741,13741,0.280766,1,166,2.0,0,0,201100043,201100192,0,3858,13741,0,13741,2.0,1
201100193,20110166,19,2,LOS ANGELES,2011,2011-02-22,Burbank,0,City Council,2,City Council,,Full,2,Frutos,"Robert ""Bob""",Police Officer,N,2,4,3085,0,13741,13741,0.224511,2,166,3.0,0,0,201100043,201100193,0,3085,13741,0,13741,3.0,2
201100194,20110166,19,2,LOS ANGELES,2011,2011-02-22,Burbank,0,City Council,2,City Council,,Full,2,Waltman,"Jacqueline ""Jackie""",Parole Agent,N,2,4,2140,0,13741,13741,0.155738,2,166,4.0,0,0,201100043,201100194,0,2140,13741,0,13741,4.0,2
201100983,20110990,19,3,LOS ANGELES,2011,2011-02-22,Burbank Unified,0,School Board Member,3,School Board Member,,Full,3,Kemp,Dave L.,School Board Member,Y,1,4,5057,0,17286,17286,0.292549,1,990,1.0,0,0,201100249,201100983,0,5057,17286,0,17286,1.0,1
201100984,20110990,19,3,LOS ANGELES,2011,2011-02-22,Burbank Unified,0,School Board Member,3,School Board Member,,Full,3,Reynolds,Roberta G.,Incumbent,Y,1,4,4508,0,17286,17286,0.260789,1,990,2.0,0,0,201100249,201100984,0,4508,17286,0,17286,2.0,1
201100985,20110990,19,3,LOS ANGELES,2011,2011-02-22,Burbank Unified,0,School Board Member,3,School Board Member,,Full,3,Bunch,Ted,Incumbent,Y,1,4,4388,0,17286,17286,0.253847,1,990,3.0,0,0,201100249,201100985,0,4388,17286,0,17286,3.0,1
201100986,20110990,19,3,LOS ANGELES,2011,2011-02-22,Burbank Unified,0,School Board Member,3,School Board Member,,Full,3,Bragg,Gregory,Broadcast Services Manager,N,2,4,3333,0,17286,17286,0.192815,2,990,4.0,0,0,201100249,201100986,0,3333,17286,0,17286,4.0,2
201100195,20110170,19,2,LOS ANGELES,2011,2011-03-01,Signal Hill,0,City Clerk,6,Other City Office,,Full,1,Pacheco,Kathleen,City Clerk,Y,1,2,776,0,1531,1531,0.506858,1,170,1.0,0,0,201100044,201100195,0,776,1531,0,1531,1.0,1
201100196,20110170,19,2,LOS ANGELES,2011,2011-03-01,Signal Hill,0,City Clerk,6,Other City Office,,Full,1,Fersch,Emerson J.,Certified Financial Planner,N,2,2,755,0,1531,1531,0.493142,2,170,2.0,0,0,201100044,201100196,0,755,1531,0,1531,2.0,2
201100197,20110172,19,2,LOS ANGELES,2011,2011-03-01,Signal Hill,0,City Council,2,City Council,,Full,2,Hansen,Tina L.,Councilmember/Criminal Prosecutor,Y,1,3,660,0,1658,1658,0.39807,1,172,1.0,0,0,201100045,201100197,0,660,1658,0,1658,1.0,1
201100198,20110172,19,2,LOS ANGELES,2011,2011-03-01,Signal Hill,0,City Council,2,City Council,,Full,2,Forester,Larry,Incumbent,Y,1,3,569,0,1658,1658,0.343185,1,172,2.0,0,0,201100045,201100198,0,569,1658,0,1658,2.0,1
201100199,20110172,19,2,LOS ANGELES,2011,2011-03-01,Signal Hill,0,City Council,2,City Council,,Full,2,Simmons,Matthew D.,Real Estate Broker,N,2,3,429,0,1658,1658,0.258745,2,172,3.0,0,0,201100045,201100199,0,429,1658,0,1658,3.0,2
201100200,20110215,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Clerk,6,Other City Office,,Full,1,Helen,Kawagoe,Carson City Clerk,Y,1,1,7663,0,7663,7663,1.0,1,215,1.0,0,0,201100054,201100200,0,7663,7663,0,7663,1.0,1
201100201,20110352,19,2,LOS ANGELES,2011,2011-03-08,Redondo Beach,0,City Clerk,6,Other City Office,,Full,1,Manzano,Eleanor,Redondo Beach City Clerk,Y,1,1,6321,0,6321,6321,1.0,1,352,1.0,0,0,201100081,201100201,0,6321,6321,0,6321,1.0,1
201100202,20110175,19,2,LOS ANGELES,2011,2011-03-08,Azusa,0,City Council,2,City Council,,Full,2,Carrillo,Angel A.,Councilmember/Educator,Y,1,5,1272,0,4542,4542,0.280053,1,175,1.0,0,0,201100046,201100202,0,1272,4542,0,4542,1.0,1
201100203,20110175,19,2,LOS ANGELES,2011,2011-03-08,Azusa,0,City Council,2,City Council,,Full,2,Macias,Uriel Edward,Councilmember,Y,1,5,1191,0,4542,4542,0.262219,1,175,2.0,0,0,201100046,201100203,0,1191,4542,0,4542,2.0,1
201100204,20110175,19,2,LOS ANGELES,2011,2011-03-08,Azusa,0,City Council,2,City Council,,Full,2,Naccachian,Paul,Educator/Mediator,N,2,5,963,0,4542,4542,0.212021,2,175,3.0,0,0,201100046,201100204,0,963,4542,0,4542,3.0,2
201100205,20110175,19,2,LOS ANGELES,2011,2011-03-08,Azusa,0,City Council,2,City Council,,Full,2,Payne,Madelyn S.,Community Volunteer,N,2,5,648,0,4542,4542,0.142668,2,175,4.0,0,0,201100046,201100205,0,648,4542,0,4542,4.0,2
201100206,20110175,19,2,LOS ANGELES,2011,2011-03-08,Azusa,0,City Council,2,City Council,,Full,2,Rosales,Jorge V.,Retired Architectural Professional,N,2,5,468,0,4542,4542,0.103038,2,175,5.0,0,0,201100046,201100206,0,468,4542,0,4542,5.0,2
201100207,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Saleh,Ali,Small Business Owner,N,2,10,1521,0,8956,8956,0.16983,1,181,1.0,0,0,201100048,201100207,0,1521,8956,0,8956,1.0,1
201100208,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Valencia,Nestor E.,Health Care Administrator,N,2,10,1448,0,8956,8956,0.161679,1,181,2.0,0,0,201100048,201100208,0,1448,8956,0,8956,2.0,1
201100209,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Alvarez,Violeta,Social Services Worker,N,2,10,1355,0,8956,8956,0.151295,1,181,3.0,0,0,201100048,201100209,0,1355,8956,0,8956,3.0,1
201100210,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Rivas,Mario S.,Coordinator/Military Officer,N,2,10,1279,0,8956,8956,0.142809,2,181,4.0,0,0,201100048,201100210,0,1279,8956,0,8956,4.0,2
201100211,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Gallardo,F.J.,English Teacher,N,2,10,1233,0,8956,8956,0.137673,2,181,5.0,0,0,201100048,201100211,0,1233,8956,0,8956,5.0,2
201100212,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Velez,Lorenzo S.,Heavy Equipment Operator,Y,1,10,688,0,8956,8956,0.07682,2,181,6.0,0,0,201100048,201100212,0,688,8956,0,8956,6.0,2
201100213,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Serrano,Imelda,Student,N,2,10,542,0,8956,8956,0.060518,2,181,7.0,0,0,201100048,201100213,0,542,8956,0,8956,7.0,2
201100214,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Mota,Estela,Business Woman/Realtor,N,2,10,400,0,8956,8956,0.044663,2,181,8.0,0,0,201100048,201100214,0,400,8956,0,8956,8.0,2
201100215,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Oliva,Marcos A.,Programmer/Analyst,N,2,10,258,0,8956,8956,0.028808,2,181,9.0,0,0,201100048,201100215,0,258,8956,0,8956,9.0,2
201100216,20110181,19,2,LOS ANGELES,2011,2011-03-08,Bell,0,City Council,2,City Council,,Full,3,Aguilar,Willie,General Contractor,N,2,10,232,0,8956,8956,0.025904,2,181,10.0,0,0,201100048,201100216,0,232,8956,0,8956,10.0,2
201100217,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Santa Ines,"C. ""Sonny""",Chief Administrative Officer,N,2,7,2111,0,9544,9544,0.221186,1,198,1.0,0,0,201100051,201100217,0,2111,9544,0,9544,1.0,1
201100218,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Dunton,Raymond,Business Owner,Y,1,7,1813,0,9544,9544,0.189962,1,198,2.0,0,0,201100051,201100218,0,1813,9544,0,9544,2.0,1
201100219,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Bomgaars,Randy,Teacher/Council Member,Y,1,7,1592,0,9544,9544,0.166806,1,198,3.0,0,0,201100051,201100219,0,1592,9544,0,9544,3.0,1
201100220,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Royse,Rick,Businessman,N,2,7,1270,0,9544,9544,0.133068,2,198,4.0,0,0,201100051,201100220,0,1270,9544,0,9544,4.0,2
201100221,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Smith,Ray T.,Businessman,Y,1,7,1129,0,9544,9544,0.118294,2,198,5.0,0,0,201100051,201100221,0,1129,9544,0,9544,5.0,2
201100222,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Elhessen,Sue,Professor/ADA Consultant,N,2,7,929,0,9544,9544,0.097339,2,198,6.0,0,0,201100051,201100222,0,929,9544,0,9544,6.0,2
201100223,20110198,19,2,LOS ANGELES,2011,2011-03-08,Bellflower,0,City Council,2,City Council,,Full,3,Gatiglio,Michael,Finance Administrator,N,2,7,700,0,9544,9544,0.073345,2,198,7.0,0,0,201100051,201100223,0,700,9544,0,9544,7.0,2
201100224,20110205,19,2,LOS ANGELES,2011,2011-03-08,Beverly Hills,0,City Council,2,City Council,,Full,2,Bosse,Lili,Planning Commission Chairperson,N,2,3,3856,0,9052,9052,0.425983,1,205,1.0,0,0,201100052,201100224,0,3856,9052,0,9052,1.0,1
201100225,20110205,19,2,LOS ANGELES,2011,2011-03-08,Beverly Hills,0,City Council,2,City Council,,Full,2,Gold,Julian A.,Physician/City Commissioner,N,2,3,2637,0,9052,9052,0.291317,1,205,2.0,0,0,201100052,201100225,0,2637,9052,0,9052,2.0,1
201100226,20110205,19,2,LOS ANGELES,2011,2011-03-08,Beverly Hills,0,City Council,2,City Council,,Full,2,Krasne,Nancy H.,Beverly Hills City Councilmember,Y,1,3,2559,0,9052,9052,0.2827,2,205,3.0,0,0,201100052,201100226,0,2559,9052,0,9052,3.0,2
201100227,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Gaines,Fred,Calabasas Library Commissioner,N,2,7,1387,0,6007,6007,0.230897,1,208,1.0,0,0,201100053,201100227,0,1387,6007,0,6007,1.0,1
201100228,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Martin,Lucy,Calabasas Education Commissioner,N,2,7,1361,0,6007,6007,0.226569,1,208,2.0,0,0,201100053,201100228,0,1361,6007,0,6007,2.0,1
201100229,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Sibilia,Bob,Consumer Attorney,N,2,7,1161,0,6007,6007,0.193275,2,208,3.0,0,0,201100053,201100229,0,1161,6007,0,6007,3.0,2
201100230,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Fritz,Martha,"Chair, Planning Commission",N,2,7,946,0,6007,6007,0.157483,2,208,4.0,0,0,201100053,201100230,0,946,6007,0,6007,4.0,2
201100231,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Weintraub,Alicia,Public Policy Advisor,N,2,7,695,0,6007,6007,0.115698,2,208,5.0,0,0,201100053,201100231,0,695,6007,0,6007,5.0,2
201100232,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Sepanlou,Roxsana,Teacher,N,2,7,241,0,6007,6007,0.04012,2,208,6.0,0,0,201100053,201100232,0,241,6007,0,6007,6.0,2
201100233,20110208,19,2,LOS ANGELES,2011,2011-03-08,Calabasas,0,City Council,2,City Council,,Full,2,Stobie,Terry,Demolition Contractor,N,2,7,216,0,6007,6007,0.035958,2,208,7.0,0,0,201100053,201100233,0,216,6007,0,6007,7.0,2
201100234,20110216,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Council,2,City Council,,Full,2,Davis-Holmes,Lula,Councilwoman,Y,1,5,4597,0,15642,15642,0.293888,1,216,1.0,0,0,201100055,201100234,0,4597,15642,0,15642,1.0,1
201100235,20110216,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Council,2,City Council,,Full,2,Santarina,Elito M.,Educator/Councilman,Y,1,5,4243,0,15642,15642,0.271257,1,216,2.0,0,0,201100055,201100235,0,4243,15642,0,15642,2.0,1
201100236,20110216,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Council,2,City Council,,Full,2,Williams,Harold,Consulting Civil Engineer,N,2,5,3677,0,15642,15642,0.235072,2,216,3.0,0,0,201100055,201100236,0,3677,15642,0,15642,3.0,2
201100237,20110216,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Council,2,City Council,,Full,2,Mitoma,"Michael ""Mike""",Chief Financial Officer,N,2,5,2575,0,15642,15642,0.164621,2,216,4.0,0,0,201100055,201100237,0,2575,15642,0,15642,4.0,2
201100238,20110216,19,2,LOS ANGELES,2011,2011-03-08,Carson,0,City Council,2,City Council,,Full,2,Manson,Jules C.,Mechanical Designer/Engineer,N,2,5,550,0,15642,15642,0.035162,2,216,5.0,0,0,201100055,201100238,0,550,15642,0,15642,5.0,2
201100239,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Pulido,Mark E.,"Boardmember, ABC Unified School District",N,2,7,5198,0,21682,21682,0.239738,1,225,1.0,0,0,201100057,201100239,0,5198,21682,0,21682,1.0,1
201100240,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Barrows,Bruce W.,"Councilmember, City of Cerritos",Y,1,7,4704,0,21682,21682,0.216954,1,225,2.0,0,0,201100057,201100240,0,4704,21682,0,21682,2.0,1
201100241,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Cho,Joseph,"Councilmember, City of Cerritos",Y,1,7,4682,0,21682,21682,0.215939,1,225,3.0,0,0,201100057,201100241,0,4682,21682,0,21682,3.0,1
201100242,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Hu,Grace,Businesswoman,N,2,7,4224,0,21682,21682,0.194816,2,225,4.0,0,0,201100057,201100242,0,4224,21682,0,21682,4.0,2
201100243,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Fuentes,"Christopher F. ""Chris""",Film Location Manager,N,2,7,1393,0,21682,21682,0.064247,2,225,5.0,0,0,201100057,201100243,0,1393,21682,0,21682,5.0,2
201100244,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Rami,Kiran,Professor,N,2,7,1102,0,21682,21682,0.050826,2,225,6.0,0,0,201100057,201100244,0,1102,21682,0,21682,6.0,2
201100245,20110225,19,2,LOS ANGELES,2011,2011-03-08,Cerritos,0,City Council,2,City Council,,Full,3,Mody,Harshad,No Ballot Designation,N,2,7,379,0,21682,21682,0.01748,2,225,7.0,0,0,201100057,201100245,0,379,21682,0,21682,7.0,2
201100246,20110232,19,2,LOS ANGELES,2011,2011-03-08,Claremont,0,City Council,2,City Council,,Full,3,Pedroza,Sam,Councilmember/Environmental Planner,Y,1,8,3550,0,14505,14505,0.244743,1,232,1.0,0,0,201100058,201100246,0,3550,14505,0,14505,1.0,1
