RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,CSD,PLACE,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Totalwritein_votes,Newtotvotes,Rindivto,Newelected
201200004,201200002,1,1,ALAMEDA,2012,2012-06-05,0,Alameda,County Supervisor,1,County Supervisor,4,Full,1,Thomas,Tojo,Deputy Probation Officer,N,2,2,12562,312.0,44951,45263.0,0.2775335262797428,2,2.0,0,0,201200002,201200004,0,12562,44951,312,45263,2.0,2
201200005,201200004,1,1,ALAMEDA,2012,2012-06-05,0,Alameda,Superior Judge,5,Other County Office,20,Full,1,Flanagan,Tara M.,Family Law Attorney,N,2,3,92496,1397.0,180870,182267.0,0.5074752972287907,1,1.0,0,0,201200004,201200005,0,92496,180870,1397,182267,1.0,1
201200006,201200004,1,1,ALAMEDA,2012,2012-06-05,0,Alameda,Superior Judge,5,Other County Office,20,Full,1,Wiener,Andrew R.,"Attorney, Arbitrator, Mediator",N,2,3,54452,1397.0,180870,182267.0,0.2987485392309085,2,2.0,0,0,201200004,201200006,0,54452,180870,1397,182267,2.0,2
201200007,201200004,1,1,ALAMEDA,2012,2012-06-05,0,Alameda,Superior Judge,5,Other County Office,20,Full,1,Haley,Catherine,Attorney,N,2,3,33922,1397.0,180870,182267.0,0.18611158355599203,2,3.0,0,0,201200004,201200007,0,33922,180870,1397,182267,3.0,2
201200008,201200005,1,1,ALAMEDA,2012,2012-11-06,0,Alameda,County Supervisor,1,County Supervisor,2,Short,1,Valle,Richard,Appointed Alameda County Supervisor District 2,N,2,4,28762,357.0,79311,79668.0,0.3610232464728624,1,1.0,0,0,201200005,201200008,0,28762,79311,357,79668,1.0,1
201200009,201200005,1,1,ALAMEDA,2012,2012-11-06,0,Alameda,County Supervisor,1,County Supervisor,2,Short,1,Green,Mark,Mayor of Union City,N,2,4,24441,357.0,79311,79668.0,0.3067856604910378,2,2.0,0,0,201200005,201200009,0,24441,79311,357,79668,2.0,2
201200010,201200005,1,1,ALAMEDA,2012,2012-11-06,0,Alameda,County Supervisor,1,County Supervisor,2,Short,1,Hayashi,Mary,California State Assemblywoman,N,2,4,19258,357.0,79311,79668.0,0.2417281719134408,2,3.0,0,0,201200005,201200010,0,19258,79311,357,79668,3.0,2
201200011,201200005,1,1,ALAMEDA,2012,2012-11-06,0,Alameda,County Supervisor,1,County Supervisor,2,Short,1,Turnquist,Mark A.,Retired Deputy Sheriff,N,2,4,6850,357.0,79311,79668.0,0.08598182457197369,2,4.0,0,0,201200005,201200011,0,6850,79311,357,79668,4.0,2
201200012,201200006,1,1,ALAMEDA,2012,2012-11-06,1,Alameda,"Director, Dublin-San Ramon CSD",4,CSD/CSA Director,,Full,3,Duarte,Edward R.,General Engineering Contractor,N,2,4,7679,71.0,27860,27931.0,0.2749274999104937,1,1.0,0,0,201200006,201200012,0,7679,27860,71,27931,1.0,1
201200015,201200006,1,1,ALAMEDA,2012,2012-11-06,1,Alameda,"Director, Dublin-San Ramon CSD",4,CSD/CSA Director,,Full,3,Hayes,Scott,Businessman,N,2,4,5734,71.0,27860,27931.0,0.20529161147112526,2,4.0,0,0,201200006,201200015,0,5734,27860,71,27931,4.0,2
201200016,201200007,2,1,ALPINE,2012,2012-06-05,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,Zellmer,Herman,Write-In Candidate,N,2,4,22,,57,,0.15602836879432624,2,4.0,1,1,201200007,201200016,0,22,119,22,141,4.0,2
201200017,201200007,2,1,ALPINE,2012,2012-06-05,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,Hames,Ron,Write-In Candidate,N,2,4,35,,57,,0.24822695035460993,2,1.5,1,1,201200007,201200017,0,35,119,22,141,1.5,2
201200018,201200007,2,1,ALPINE,2012,2012-06-05,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,Hansen,Scot,Business Owner,N,2,4,35,22.0,62,84.0,0.24822695035460993,2,1.5,1,1,201200007,201200018,0,35,119,22,141,1.5,2
201200020,201200009,2,1,ALPINE,2012,2012-06-05,0,Alpine,County Supervisor,1,County Supervisor,5,Full,1,Rawson,Mary,Business Owner,N,2,2,64,0.0,112,112.0,0.5714285714285714,1,1.0,0,0,201200009,201200020,0,64,112,0,112,1.0,1
201200021,201200007,2,1,ALPINE,2012,2012-06-05,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,O'Neal,Earl H.,School Board Incumbent,N,2,4,27,22.0,62,84.0,0.19148936170212766,2,3.0,1,1,201200007,201200021,0,27,119,22,141,3.0,2
201200023,201200010,2,1,ALPINE,2012,2012-11-06,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,Hames,Ron,No Ballot Designation,N,2,2,90,0.0,131,131.0,0.6870229007633588,1,1.0,0,0,201200010,201200023,0,90,131,0,131,1.0,1
201200024,201200010,2,1,ALPINE,2012,2012-11-06,0,Alpine,County Supervisor,1,County Supervisor,2,Full,1,Hansen,Scot,Business Owner,N,2,2,41,0.0,131,131.0,0.31297709923664124,2,2.0,0,0,201200010,201200024,0,41,131,0,131,2.0,2
201200028,201200014,3,1,AMADOR,2012,2012-06-05,0,Amador,Superior Judge,5,Other County Office,,Full,1,Hermanson,Steve,Deputy District Attorney,N,2,2,6969,38.0,11138,11176.0,0.6235683607730852,1,1.0,0,0,201200014,201200028,0,6969,11138,38,11176,1.0,1
201200029,201200014,3,1,AMADOR,2012,2012-06-05,0,Amador,Superior Judge,5,Other County Office,,Full,1,Seaton,Jeffrey D.,Attorney/Businessman,N,2,2,4169,38.0,11138,11176.0,0.37303149606299213,2,2.0,0,0,201200014,201200029,0,4169,11138,38,11176,2.0,2
201200030,201200015,4,1,BUTTE,2012,2012-06-05,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Di Duca,Joe,Businessman/Town Councilmember,N,2,4,5040,23.0,12957,12980.0,0.3882896764252696,1,1.0,1,1,201200015,201200030,0,5040,12957,23,12980,1.0,3
201200033,201200015,4,1,BUTTE,2012,2012-06-05,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Teeter,Doug,Licensed Private Fiduciary,N,2,4,3275,23.0,12957,12980.0,0.25231124807395994,2,2.0,1,1,201200015,201200033,0,3275,12957,23,12980,2.0,2
201200034,201200015,4,1,BUTTE,2012,2012-06-05,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Huffman,Robin,College Anthropology Instructor,N,2,4,2450,23.0,12957,12980.0,0.18875192604006163,2,3.0,1,1,201200015,201200034,0,2450,12957,23,12980,3.0,2
201200035,201200015,4,1,BUTTE,2012,2012-06-05,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Greer,Mike,Special Education Teacher,N,2,4,2192,23.0,12957,12980.0,0.16887519260400616,2,4.0,1,1,201200015,201200035,0,2192,12957,23,12980,4.0,2
201200036,201200016,4,1,BUTTE,2012,2012-06-05,0,Butte,County Supervisor,1,County Supervisor,1,Full,1,Gage,Virgle N.,Retired Business Executive,N,2,2,3306,45.0,9826,9871.0,0.33492047411609766,2,2.0,0,0,201200016,201200036,0,3306,9826,45,9871,2.0,2
201200037,201200018,4,1,BUTTE,2012,2012-11-06,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Teeter,Doug,Small Business Owner,N,2,2,11847,39.0,18970,19009.0,0.6232311010573939,1,1.0,0,0,201200018,201200037,0,11847,18970,39,19009,1.0,1
201200038,201200018,4,1,BUTTE,2012,2012-11-06,0,Butte,County Supervisor,1,County Supervisor,5,Full,1,Di Duca,Joe,Businessman/Town Councilmember,N,2,2,7123,39.0,18970,19009.0,0.374717239202483,2,2.0,0,0,201200018,201200038,0,7123,18970,39,19009,2.0,2
201200040,201200020,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Wright,Chris,Non-Profit Manager,N,2,4,1211,2.0,2930,2932.0,0.4130286493860846,1,1.0,1,1,201200020,201200040,0,1211,2930,2,2932,1.0,3
201200041,201200021,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,4,Full,1,Ponte,Debbie,Business Person,N,2,3,1351,3.0,2964,2967.0,0.45534209639366363,1,1.0,1,1,201200021,201200041,0,1351,2964,3,2967,1.0,3
201200042,201200019,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,1,Full,1,Edson,Cliff,Local Business Owner,N,2,3,962,2.0,2412,2414.0,0.3985086992543496,2,2.0,1,1,201200019,201200042,0,962,2412,2,2414,2.0,2
201200043,201200020,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,2,Full,1,Randall,Bryce,Small Business Owner,N,2,4,989,2.0,2930,2932.0,0.33731241473397,2,2.0,1,1,201200020,201200043,0,989,2930,2,2932,2.0,2
201200045,201200019,5,1,CALAVERAS,2012,2012-06-05,0,Calaveras,County Supervisor,1,County Supervisor,1,Full,1,Kelly,Joe,Retired,N,2,3,303,2.0,2412,2414.0,0.1255178127589064,2,3.0,1,1,201200019,201200045,0,303,2412,2,2414,3.0,2
