RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RACEID,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201300153,201300039,1,2,ALAMEDA,2013,2013-05-07,Pleasanton,0,City Council,2,City Council,,Short,1,Narum,Kathy,Businesswoman/Planning Commissioner,N,2,4,4643,43,11689,11732,0.39575519945448345,1,39,1.0,1,0,201300039,201300153,0,4643,11689,43,11732,1.0,1
201300154,201300039,1,2,ALAMEDA,2013,2013-05-07,Pleasanton,0,City Council,2,City Council,,Short,1,Miller,David,Smartphone Engineering Executive,N,2,4,3159,43,11689,11732,0.26926355267644053,2,39,2.0,0,0,201300039,201300154,0,3159,11689,43,11732,2.0,2
201300155,201300039,1,2,ALAMEDA,2013,2013-05-07,Pleasanton,0,City Council,2,City Council,,Short,1,Sanwong,Olivia,Market Research Analyst,N,2,4,2014,43,11689,11732,0.1716672349130583,2,39,3.0,0,0,201300039,201300155,0,2014,11689,43,11732,3.0,2
201300156,201300039,1,2,ALAMEDA,2013,2013-05-07,Pleasanton,0,City Council,2,City Council,,Short,1,Hamilton,Mark,Local Businessman/Veteran,N,2,4,1873,43,11689,11732,0.1596488237299693,2,39,4.0,0,0,201300039,201300156,0,1873,11689,43,11732,4.0,2
201300157,201300040,7,2,CONTRA COSTA,2013,2013-11-05,San Ramon,0,City Council,2,City Council,,Full,2,Sachs,Harry,Teacher,N,2,4,4669,86,14702,14788,0.31572896943467677,1,40,1.0,0,0,201300040,201300157,0,4669,14702,86,14788,1.0,1
201300158,201300040,7,2,CONTRA COSTA,2013,2013-11-05,San Ramon,0,City Council,2,City Council,,Full,2,Hudson,"David E. ""Dave""",San Ramon Vice Mayor,Y,1,4,4249,86,14702,14788,0.28732756288882877,1,40,2.0,0,0,201300040,201300158,0,4249,14702,86,14788,2.0,1
201300159,201300040,7,2,CONTRA COSTA,2013,2013-11-05,San Ramon,0,City Council,2,City Council,,Full,2,Matsumoto,René,Community Program Leader,N,2,4,4009,86,14702,14788,0.2710981877197728,2,40,3.0,0,0,201300040,201300159,0,4009,14702,86,14788,3.0,2
201300160,201300040,7,2,CONTRA COSTA,2013,2013-11-05,San Ramon,0,City Council,2,City Council,,Full,2,Von Thury,Thomas,Lawyer,N,2,4,1775,86,14702,14788,0.1200297538544766,2,40,4.0,0,0,201300040,201300160,0,1775,14702,86,14788,4.0,2
201300162,201300042,13,2,IMPERIAL,2013,2013-11-05,Brawley,0,City Council,2,City Council,,Full,2,Couchman,Sam,Incumbent,Y,1,3,1311,20,3415,3435,0.38165938864628823,1,42,1.0,0,0,201300042,201300162,0,1311,3415,20,3435,1.0,1
201300163,201300042,13,2,IMPERIAL,2013,2013-11-05,Brawley,0,City Council,2,City Council,,Full,2,Noriega,Helen M.,Board Member,N,2,3,1091,20,3415,3435,0.3176128093158661,1,42,2.0,0,0,201300042,201300163,0,1091,3415,20,3435,2.0,1
201300164,201300042,13,2,IMPERIAL,2013,2013-11-05,Brawley,0,City Council,2,City Council,,Full,2,Miranda,Miguel C.,Incumbent,Y,1,3,1013,20,3415,3435,0.2949053857350801,2,42,3.0,0,0,201300042,201300164,0,1013,3415,20,3435,3.0,2
201300165,201300043,13,2,IMPERIAL,2013,2013-11-05,El Centro,0,City Council,2,City Council,,Full,2,Cardenas,Alex,Executive Director,N,2,3,1717,15,4447,4462,0.3848050201703272,1,43,1.0,0,0,201300043,201300165,0,1717,4447,15,4462,1.0,1
201300166,201300043,13,2,IMPERIAL,2013,2013-11-05,El Centro,0,City Council,2,City Council,,Full,2,Viegas-Walker,Cheryl,Incumbent,Y,1,3,1401,15,4447,4462,0.313984760197221,1,43,2.0,0,0,201300043,201300166,0,1401,4447,15,4462,2.0,1
201300167,201300043,13,2,IMPERIAL,2013,2013-11-05,El Centro,0,City Council,2,City Council,,Full,2,Olivas,Tomas,Public Administrator,N,2,3,1329,15,4447,4462,0.29784849843119676,2,43,3.0,0,0,201300043,201300167,0,1329,4447,15,4462,3.0,2
