RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,VOTES_sum,TOTVOTES,Percent,elected,RACEID,RVOTES,runoff,checkrunoff,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,multitotal_votes,total_writein,newtotvotes,Rindivto,newelected
201400001,20140001,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,ASSESSOR,5,Other County,,Full,1,Thomsen,Ron,Incumbent,Y,1,1,139711,2764,139711,142475,0.9806001052816283,1,1,1.0,0,0,201400001,201400001,0,139711,139711,2764,142475,1.0,1
201400002,20140002,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,AUDITOR-CONTROLLER-CLERK-RECORDER,5,Other County,,Full,1,Manning,Steve,Chief Deputy Auditor,N,2,2,117763,1119,157102,158221,0.7442943730604661,1,2,1.0,0,0,201400002,201400002,0,117763,157102,1119,158221,1.0,1
201400003,20140002,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,AUDITOR-CONTROLLER-CLERK-RECORDER,5,Other County,,Full,1,Knox,Kathleen,Business Executive,N,2,2,39339,1119,157102,158221,0.24863324084666386,2,2,2.0,0,0,201400002,201400003,0,39339,157102,1119,158221,2.0,2
201400004,20140003,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Valle,Richard,"Alameda County Supervisor, Second District",Y,1,1,23538,488,23538,24026,0.9796886706068426,1,3,1.0,0,0,201400003,201400004,0,23538,23538,488,24026,1.0,1
201400005,20140004,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Chan,Wilma,"Alameda County Board of Supoervisors, District 3",Y,1,1,26669,659,26669,27328,0.9758855386416861,1,4,1.0,0,0,201400004,201400005,0,26669,26669,659,27328,1.0,1
201400006,20140005,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,DISTRICT ATTORNEY,5,Other County,,Full,1,O'Malley,Nancy E.,Incumbent,Y,1,1,142240,2668,142240,144908,0.9815883181052806,1,5,1.0,0,0,201400005,201400006,0,142240,142240,2668,144908,1.0,1
201400007,20140006,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,SHERIFF-CORONER,5,Other County,,Full,1,Ahern,Gregory J.,Sheriff-Coroner,Y,1,1,140643,2449,140643,143092,0.9828851368350432,1,6,1.0,0,0,201400006,201400007,0,140643,140643,2449,143092,1.0,1
201400008,20140007,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,SUPERINTENDENT OF SCHOOLS,5,Other County,,Full,1,Monroe,Karen,Associate Superintendent/Educator,N,2,5,54251,946,159658,160604,0.3377935792383751,3,7,1.0,1,1,201400007,201400008,0,54251,159658,946,160604,1.0,3
201400009,20140007,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,SUPERINTENDENT OF SCHOOLS,5,Other County,,Full,1,Foster,Helen K.,Teacher/School Administrator,N,2,5,35054,946,159658,160604,0.2182635550795746,3,7,2.0,1,1,201400007,201400009,0,35054,159658,946,160604,2.0,3
201400010,20140007,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,SUPERINTENDENT OF SCHOOLS,5,Other County,,Full,1,Bowser,Jeff,School Boardmember/Educator,N,2,5,28230,946,159658,160604,0.1757739533261936,2,7,3.0,0,0,201400007,201400010,0,28230,159658,946,160604,3.0,2
201400011,20140007,1,1,ALAMEDA,2014,2014-06-03,Alameda,0,SUPERINTENDENT OF SCHOOLS,5,Other County,,Full,1,Reed,Ursula,Educator/City Councilmember,N,2,5,22476,946,159658,160604,0.13994670120295882,2,7,4.0,0,0,201400007,201400011,0,22476,159658,946,160604,4.0,2
