RecordID,RaceID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,SUMVOTES,WRITEIN,TOTVOTES,PERCENT,elected,RVOTES,RACEID,runoff,checkrunoff,Multi_RaceID,Multi_CandID,Multi_CO,indivtotal_votes,multitotal_votes,total_writein,newtotvotes,Rindivto,newelected
201500001,20150001,9,1,EL DORADO,2015,2015-03-31,El Dorado,1,"DIRECTOR, Audobon Hills CSD-R",DIRECTOR,1,Short,1,Blackmun,Gene,Retired,N,2,1,118,118,8,126,0.9365079365079365,1,1.0,1,0,0,201500001,201500001,0,118,118,8,126,1.0,1
201500002,20150002,9,1,EL DORADO,2015,2015-03-31,El Dorado,1,"DIRECTOR, Audobon Hills CSD-R",DIRECTOR,2,Short,1,Anders,Russel L.,Dentist,N,2,1,117,117,7,124,0.9435483870967742,1,1.0,2,0,0,201500002,201500002,0,117,117,7,124,1.0,1
201500003,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,Vander Meer,Carol,Nonprofit Consultant,N,2,6,143,560,4,564,0.25354609929078015,1,1.0,3,0,0,201500003,201500003,0,143,560,4,564,1.0,1
201500004,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,Leopardo,Carla,Store Manager,N,2,6,131,560,4,564,0.2322695035460993,1,2.0,3,0,0,201500003,201500004,0,131,560,4,564,2.0,1
201500005,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,Bramlett,Jan,Incumbent,Y,1,6,123,560,4,564,0.21808510638297873,1,3.0,3,0,0,201500003,201500005,0,123,560,4,564,3.0,1
201500006,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,Prosser,Beverly,Retired,N,2,6,67,560,4,564,0.11879432624113476,2,4.0,3,0,0,201500003,201500006,0,67,560,4,564,4.0,2
201500007,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,Opalach,Susan,Itinerant Laborer,N,2,6,62,560,4,564,0.1099290780141844,2,5.0,3,0,0,201500003,201500007,0,62,560,4,564,5.0,2
201500008,20150003,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Manila CSD",DIRECTOR,,Full,3,O'Leary,Daniel E.,Youth Group Leader,N,2,6,34,560,4,564,0.06028368794326241,2,6.0,3,0,0,201500003,201500008,0,34,560,4,564,6.0,2
201500009,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,Nelson,Bruce,Incumbent,Y,1,6,220,794,5,799,0.2753441802252816,1,1.0,4,0,0,201500004,201500009,0,220,794,5,799,1.0,1
201500010,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,Gower,Judy,Incumbent,Y,1,6,162,794,5,799,0.20275344180225283,1,2.0,4,0,0,201500004,201500010,0,162,794,5,799,2.0,1
201500011,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,O'Gorman,Tom,Farmer,N,2,6,149,794,5,799,0.18648310387984982,1,3.0,4,0,0,201500004,201500011,0,149,794,5,799,3.0,1
201500012,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,Duggan,E.B.,No Ballot Designation,N,2,6,95,794,5,799,0.11889862327909888,2,4.0,4,0,0,201500004,201500012,0,95,794,5,799,4.0,2
201500013,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,Goodman,Gina,Community Member,N,2,6,88,794,5,799,0.11013767209011265,2,5.0,4,0,0,201500004,201500013,0,88,794,5,799,5.0,2
201500014,20150004,12,1,HUMBOLDT,2015,2015-11-03,Humboldt,1,"DIRECTOR, Willow Creek CSD",DIRECTOR,,Full,3,Adkins,Rod,Businessman,N,2,6,80,794,5,799,0.10012515644555695,2,6.0,4,0,0,201500004,201500014,0,80,794,5,799,6.0,2
201500015,20150005,13,1,IMPERIAL,2015,2015-11-03,Imperial,1,"DIRECTOR, Salton CSD",DIRECTOR,,Full,2,Pickrell,Bryon Leroy,Business Owner,N,2,3,139,320,0,320,0.434375,1,1.0,5,0,0,201500005,201500015,0,139,320,0,320,1.0,1
201500016,20150005,13,1,IMPERIAL,2015,2015-11-03,Imperial,1,"DIRECTOR, Salton CSD",DIRECTOR,,Full,2,Johnson,Dale R.,Incumbent,Y,1,3,109,320,0,320,0.340625,1,2.0,5,0,0,201500005,201500016,0,109,320,0,320,2.0,1
201500017,20150005,13,1,IMPERIAL,2015,2015-11-03,Imperial,1,"DIRECTOR, Salton CSD",DIRECTOR,,Full,2,Fifield,John (Jack),Incumbent,Y,1,3,72,320,0,320,0.225,2,3.0,5,0,0,201500005,201500017,0,72,320,0,320,3.0,2
201500018,20150006,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marin CSD",DIRECTOR,,Full,2,Johnson,Nancy Jo,Incumbent,Y,1,4,192,466,2,468,0.41025641025641024,1,1.0,6,0,0,201500006,201500018,0,192,466,2,468,1.0,1
201500019,20150006,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marin CSD",DIRECTOR,,Full,2,Brandon,Everett P.,Incumbent,Y,1,4,173,466,2,468,0.3696581196581197,1,2.0,6,0,0,201500006,201500019,0,173,466,2,468,2.0,1
201500020,20150006,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marin CSD",DIRECTOR,,Full,2,Ashby,Karen E.,Writer/Poet,N,2,4,60,466,2,468,0.1282051282051282,2,3.0,6,0,0,201500006,201500020,0,60,466,2,468,3.0,2
201500021,20150006,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marin CSD",DIRECTOR,,Full,2,McKinley,Eboni,No Ballot Designation,N,2,4,41,466,2,468,0.0876068376068376,2,4.0,6,0,0,201500006,201500021,0,41,466,2,468,4.0,2
201500022,20150007,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marinwood CSD",DIRECTOR,,Full,3,Naylor,Jeffrey C.,Technical Project Manager,N,2,5,780,3219,10,3229,0.24156085475379374,1,1.0,7,0,0,201500007,201500022,0,780,3219,10,3229,1.0,1
201500023,20150007,21,1,MARIN,2015,2015-11-03,Marin,1,"DIRECTOR, Marinwood CSD",DIRECTOR,,Full,3,Perry,Izabela,Parks & Recreation Commissioner,N,2,5,740,3219,10,3229,0.22917311861257356,1,2.0,7,0,0,201500007,201500023,0,740,3219,10,3229,2.0,1
