RecordID,RACEID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INCUMB,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,RVOTES,PERCENT,ELECTED,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201600001,1,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Haggerty,Scott Patrick,"Member, Alameda County Board of Supervisors District One",Y,1,1,44296,1170,44296,45466,1.0,0.9742664848458189,1,0,0,201600001,201600001,0,44296,44296,1170,45466,1.0,1
201600002,2,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Miley,Nate,"Alameda County Board of Supervisors, District 4",Y,1,2,43507,487,69681,70168,1.0,0.6200404742902748,1,0,0,201600002,201600002,0,43507,69681,487,70168,1.0,1
201600003,2,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Parker,Bryan,Businessman/University Trustee,N,2,2,26174,487,69681,70168,2.0,0.37301904001824193,2,0,0,201600002,201600003,0,26174,69681,487,70168,2.0,2
201600004,3,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,5,Full,1,Carson,Keith,"Alameda County, Board of Supervisors, 5th District",Y,1,1,67556,1283,67556,68839,1.0,0.981362309156147,1,0,0,201600003,201600004,0,67556,67556,1283,68839,1.0,1
201600005,4,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,1,Full,1,Thomas,Barbara,Victims' Rights Attorney,N,2,3,153845,1840,318806,320646,1.0,0.47979703473612645,3,1,1,201600004,201600005,0,153845,318806,1840,320646,1.0,3
201600006,4,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,1,Full,1,Jackson,Scott,Law Professor,N,2,3,90360,1840,318806,320646,2.0,0.28180610392769595,3,1,1,201600004,201600006,0,90360,318806,1840,320646,2.0,3
201600007,4,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,1,Full,1,Lim,David G.,Prosecutor/ City Councilmember,N,2,3,74601,1840,318806,320646,3.0,0.2326584457626167,2,0,0,201600004,201600007,0,74601,318806,1840,320646,3.0,2
201600008,5,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,14,Full,1,Fujioka,Margaret,Administrative Hearing Officer,N,2,1,248987,6253,248987,255240,1.0,0.9755014887948598,1,0,0,201600005,201600008,0,248987,248987,6253,255240,1.0,1
201600009,6,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,2,Full,1,Madden,Jennifer,Human Trafficking Prosecutor,N,2,2,251310,2346,313069,315415,1.0,0.796759824358385,1,0,0,201600006,201600009,0,251310,313069,2346,315415,1.0,1
201600010,6,1,1,ALAMEDA,2016,2016-06-07,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,2,Full,1,Van Ee,Jonathan,Public Interest Attorney,N,2,2,61759,2346,313069,315415,2.0,0.19580235562671403,2,0,0,201600006,201600010,0,61759,313069,2346,315415,2.0,2
201600011,7,1,1,ALAMEDA,2016,2016-11-08,Alameda,0,SUPERIOR JUDGE,5,SUPERIOR JUDGE,1,Full,1,Thomas,Barbara,Victims' Rights Attorney,N,2,2,283396,3728,539503,543231,1.0,0.5216859862563071,1,0,0,201600007,201600011,0,283396,539503,3728,543231,1.0,1
