RecordID,RACEID,CO#,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,First,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,VOTES_sum,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
201800001,1,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Johnson,"James ""Jim""","Chief, Assessment Services",N,2,4,63279,2109,252185,254294,0.24884189166869844,3,2.0,1,1,201800001,201800001,0,63279,252185,2109,254294,2.0,3
201800002,1,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,La,Phong,Tax Law Attorney,N,2,4,98828,2109,252185,254294,0.3886367747567776,3,1.0,1,1,201800001,201800002,0,98828,252185,2109,254294,1.0,3
201800003,1,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Lopez,Kevin D.,Certified General Appraiser,N,2,4,35447,2109,252185,254294,0.13939377256246707,2,4.0,0,0,201800001,201800003,0,35447,252185,2109,254294,4.0,2
201800004,1,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Weed,John,Assessment Appeals Officer,N,2,4,54631,2109,252185,254294,0.21483401102660699,2,3.0,0,0,201800001,201800004,0,54631,252185,2109,254294,3.0,2
201800005,2,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,AUDITOR-CONTROLLER-CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Blackwood,Irella Christina,Chief Auditor/Accountant,N,2,2,103733,2670,241321,243991,0.4251509276981528,2,2.0,0,0,201800002,201800005,0,103733,241321,2670,243991,2.0,2
201800006,2,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,AUDITOR-CONTROLLER-CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Wilk,Melissa,Chief Auditor Controller,N,2,2,137588,2670,241321,243991,0.563906045714801,1,1.0,0,0,201800002,201800006,0,137588,241321,2670,243991,1.0,1
201800007,3,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,2,Full,1,Valle,Richard,"Alameda County Supervisor, District 2",Y,1,1,32547,952,32547,33499,0.9715812412310815,1,1.0,0,0,201800003,201800007,0,32547,32547,952,33499,1.0,1
201800008,4,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Chan,Wilma,"Alameda County Board of Supervisor, District 3",Y,1,1,44825,1218,44825,46043,0.9735464674326173,1,1.0,0,0,201800004,201800008,0,44825,44825,1218,46043,1.0,1
201800009,5,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,O'Malley,Nancy E.,District Attorney,Y,1,2,167929,1630,290779,292409,0.574294908843435,1,1.0,0,0,201800005,201800009,0,167929,290779,1630,292409,1.0,1
201800010,5,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,DISTRICT ATTORNEY,5,OTHER COUNTY,,Full,1,Price,Pamela,Civil Rights Attorney,N,2,2,122850,1630,290779,292409,0.4201307073311697,2,2.0,0,0,201800005,201800010,0,122850,290779,1630,292409,2.0,2
201800011,6,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,SHERIFF-CORONER,5,OTHER COUNTY,,Full,1,Ahern,Gregory J.,Sheriff/Coroner,Y,1,1,211884,9386,211884,221270,0.9575812355945226,1,1.0,0,0,201800006,201800011,0,211884,211884,9386,221270,1.0,1
201800012,7,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Monroe,L. Karen,Alameda County Superintendent of Schools,Y,1,1,221392,5258,221392,226650,0.9768012353849548,1,1.0,0,0,201800007,201800012,0,221392,221392,5258,226650,1.0,1
201800013,8,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,SUPERIOR JUDGE,5,OTHER COUNTY,11,Full,1,Flanagan,Tara,"Judge, Superior Court",Y,1,2,176128,2245,276536,278781,0.6317790667226245,1,1.0,0,0,201800008,201800013,0,176128,276536,2245,278781,1.0,1
201800014,8,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,SUPERIOR JUDGE,5,OTHER COUNTY,11,Full,1,Katz,Karen,Retired Public Defender,N,2,2,100408,2245,276536,278781,0.3601680171891198,2,2.0,0,0,201800008,201800014,0,100408,276536,2245,278781,2.0,2
201800015,9,1,1,ALAMEDA,2018,2018-06-05,Alameda,0,TREASURER-TAX COLLECTOR,5,OTHER COUNTY,,Full,1,Levy,Henry (Hank),Appointed Alameda County Treasurer-Tax Collector,Y,1,1,220492,4616,220492,225108,0.9794942871865949,1,1.0,0,0,201800009,201800015,0,220492,220492,4616,225108,1.0,1
201800016,10,1,1,ALAMEDA,2018,2018-11-06,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Johnson,"James ""Jim""","Chief, Assessment Services",N,2,2,178126,4239,447207,451446,0.3945676780833145,2,2.0,0,0,201800010,201800016,0,178126,447207,4239,451446,2.0,2
201800017,10,1,1,ALAMEDA,2018,2018-11-06,Alameda,0,ASSESSOR,5,OTHER COUNTY,,Full,1,La,Phong,Property Tax Attorney,N,2,2,269081,4239,447207,451446,0.5960424945619188,1,1.0,0,0,201800010,201800017,0,269081,447207,4239,451446,1.0,1
201800018,11,2,1,ALPINE,2018,2018-06-05,Alpine,0,ASSESSOR-RECORDER,5,OTHER COUNTY,,Full,1,O'Connor,Donald,Incumbent,Y,1,1,298,17,298,315,0.946031746031746,1,1.0,0,0,201800011,201800018,0,298,298,17,315,1.0,1
201800019,12,2,1,ALPINE,2018,2018-06-05,Alpine,0,CLERK,5,OTHER COUNTY,,Full,1,Tremayne,Teola L.,County Clerk,Y,1,1,354,1,354,355,0.9971830985915493,1,1.0,0,0,201800012,201800019,0,354,354,1,355,1.0,1
201800020,13,2,1,ALPINE,2018,2018-06-05,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,1,Full,1,Jardine,Donald M.,Incumbent,Y,1,1,72,5,72,77,0.935064935064935,1,1.0,0,0,201800013,201800020,0,72,72,5,77,1.0,1
201800021,14,2,1,ALPINE,2018,2018-06-05,Alpine,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,4,Full,1,Woodrow,Terry,Incumbent,Y,1,1,71,0,71,71,1.0,1,1.0,0,0,201800014,201800021,0,71,71,0,71,1.0,1
201800022,15,2,1,ALPINE,2018,2018-06-05,Alpine,0,DISTRICT ATTORNEY-PUBLIC ADMINISTRATOR,5,OTHER COUNTY,,Full,1,Atwell,Michael,Appointed Incumbent,Y,1,1,282,10,282,292,0.9657534246575342,1,1.0,0,0,201800015,201800022,0,282,282,10,292,1.0,1
201800023,16,2,1,ALPINE,2018,2018-06-05,Alpine,0,SHERIFF-CORONER,5,OTHER COUNTY,,Full,1,Stephens,Rick,Sheriff,Y,1,1,340,4,340,344,0.9883720930232558,1,1.0,0,0,201800016,201800023,0,340,340,4,344,1.0,1
201800024,17,2,1,ALPINE,2018,2018-06-05,Alpine,0,SUPERINTENDENT OF SCHOOLS,5,OTHER COUNTY,,Full,1,Traynor,Patrick,Incumbent,Y,1,1,258,15,258,273,0.945054945054945,1,1.0,0,0,201800017,201800024,0,258,258,15,273,1.0,1
201800025,18,3,1,AMADOR,2018,2018-06-05,Amador,0,ASSESSOR,5,OTHER COUNTY,,Full,1,Rooney,Jim,Amador County Assessor,Y,1,1,10270,98,10270,10368,0.9905478395061729,1,1.0,0,0,201800018,201800025,0,10270,10270,98,10368,1.0,1
201800026,19,3,1,AMADOR,2018,2018-06-05,Amador,0,AUDITOR,5,OTHER COUNTY,,Full,1,Rouen,Tacy Oneto,Incumbent,Y,1,1,9901,96,9901,9997,0.9903971191357407,1,1.0,0,0,201800019,201800026,0,9901,9901,96,9997,1.0,1
201800027,20,3,1,AMADOR,2018,2018-06-05,Amador,0,CLERK-RECORDER,5,OTHER COUNTY,,Full,1,Grady,Kimberly L.,Amador County Clerk/Recorder,Y,1,1,10064,63,10064,10127,0.9937790066159771,1,1.0,0,0,201800020,201800027,0,10064,10064,63,10127,1.0,1
201800028,21,3,1,AMADOR,2018,2018-06-05,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Brown,Jeff,Forest Service Employee,N,2,2,1331,10,2417,2427,0.5484136794396374,1,1.0,0,0,201800021,201800028,0,1331,2417,10,2427,1.0,1
201800029,21,3,1,AMADOR,2018,2018-06-05,Amador,0,COUNTY SUPERVISOR,1,COUNTY SUPERVISOR,3,Full,1,Morgan,Lynn A.,Amador Supervisor District 3,Y,1,2,1086,10,2417,2427,0.44746600741656367,2,2.0,0,0,201800021,201800029,0,1086,2417,10,2427,2.0,2
