RecordID,RACEID,CO#,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,RECODE_OFFNAME,AREA,TERM,VOTE#,LAST,First,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
202004680,1494,16,3,KINGS,2020,2020-11-03 00:00:00,Hanford Joint Union High,0,SCHOOL BOARD MEMBER,3,SCHOOL BOARD MEMBER,2,Full,1,Alvarez,Oscar,No Ballot Designation,N,2,2,1169,0,3052,3052,0.3830275229357798,2,2.0,0,0,202001491,202004665,0,1169,3052,0,3052,2.0,2
202006778,2191,57,3,YOLO,2020,2020-11-03 00:00:00,Los Rios Community College,0,SCHOOL BOARD MEMBER,3,SCHOOL BOARD MEMBER,4,Full,1,Wilkerson,Kelly,High School Teacher,N,2,3,23669,0,50986,50986,0.46422547365943595,1,1.0,1,0,202001812,202005633,1,47215,316935,0,316935,1.0,1
202006154,1985,39,3,SAN JOAQUIN,2020,2020-11-03 00:00:00,Stockton Unified,0,SCHOOL BOARD MEMBER,3,SCHOOL BOARD MEMBER,3,Full,1,Rico,Alicia,Parent/Independent Businesswoman,N,2,5,2090,16,5687,5703,0.36647378572681044,1,1.0,1,0,202001945,202006035,0,2090,5687,16,5703,1.0,1
202004986,1592,19,3,LOS ANGELES,2020,2020-11-03 00:00:00,Lynwood Unified,0,SCHOOL BOARD MEMBER,3,SCHOOL BOARD MEMBER,,Full,3,Lopez,Maria G.,"Governing Board Member, Lynwood Unified School District",Y,1,5,10168,0,38922,38922,0.2612404295771029,1,1.0,0,0,202001586,202004962,0,10168,38922,0,38922,1.0,1
202000862,356,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Oakland,0,CITY ATTORNEY,6,OTHER CITY,,Full,1,Ferran,Eli,Deputy City Attorney,N,2,2,34166,858,174371,175229,0.19497914158044616,2,2.0,0,0,202000356,202000865,0,34166,174371,858,175229,2.0,2
202003108,988,37,2,SAN DIEGO,2020,2020-03-03 00:00:00,San Diego,0,CITY ATTORNEY,6,OTHER CITY,,Full,1,Briggs,Cory,Attorney/Taxpayer Advocate,N,2,3,71672,0,307662,307662,0.23295694625920654,2,2.0,0,0,202000988,202003105,0,71672,307662,0,307662,2.0,2
202003110,988,37,2,SAN DIEGO,2020,2020-03-03 00:00:00,San Diego,0,CITY ATTORNEY,6,OTHER CITY,,Full,1,Mesich,Pete,Attorney,N,2,3,27223,0,307662,307662,0.08848346562136371,2,3.0,0,0,202000988,202003107,0,27223,307662,0,307662,3.0,2
202003154,1026,37,2,SAN DIEGO,2020,2020-11-03 00:00:00,San Diego,0,CITY ATTORNEY,6,OTHER CITY,,Full,1,Briggs,Cory,Attorney/Taxpayer Advocate,N,2,2,190893,0,571184,571184,0.33420579007815343,2,2.0,0,0,202001026,202003151,0,190893,571184,0,571184,2.0,2
202001082,393,7,2,CONTRA COSTA,2020,2020-11-03 00:00:00,Antioch,0,CITY CLERK,6,OTHER CITY,,Full,1,Eubanks,Dwayne Donald,Information Technology Professional,N,2,3,9275,0,42606,42606,0.21769234380134253,2,3.0,0,0,202000393,202001085,0,9275,42606,0,42606,3.0,2
202001083,393,7,2,CONTRA COSTA,2020,2020-11-03 00:00:00,Antioch,0,CITY CLERK,6,OTHER CITY,,Full,1,Householder,Ellie,School Board Member/Educator,N,2,3,16717,0,42606,42606,0.39236257804065156,1,1.0,1,0,202000393,202001086,0,16717,42606,0,42606,1.0,1
202001084,393,7,2,CONTRA COSTA,2020,2020-11-03 00:00:00,Antioch,0,CITY CLERK,6,OTHER CITY,,Full,1,Simonsen,Arne,Antioch City Clerk,N,2,3,16614,0,42606,42606,0.38994507815800594,2,2.0,1,0,202000393,202001087,0,16614,42606,0,42606,2.0,2
202001086,410,7,2,CONTRA COSTA,2020,2020-11-03 00:00:00,Martinez,0,CITY CLERK,6,OTHER CITY,,Full,1,Llamas-Morales,Yazmín,Finance Manager,N,2,2,8368,0,18988,18988,0.44069938908784495,2,2.0,0,0,202000410,202001089,0,8368,18988,0,18988,2.0,2
202001407,496,15,2,KERN,2020,2020-11-03 00:00:00,Maricopa,0,CITY CLERK,6,OTHER CITY,,Full,1,Harrison,Wendy,Write In Candidate,N,2,1,18,17,18,35,0.5142857142857142,1,1.0,0,0,202000496,202001406,0,18,18,17,35,1.0,1
202001756,581,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Baldwin Park,0,CITY CLERK,6,OTHER CITY,,Short,1,Garcia,Marlen,Manager/Planning Commissioner,N,2,3,7662,0,20378,20378,0.37599371871626264,1,1.0,1,0,202000581,202001755,0,7662,20378,0,20378,1.0,1
202001757,581,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Baldwin Park,0,CITY CLERK,6,OTHER CITY,,Short,1,Plascencia,"Jose-Luis ""Louie""",Youth Director,N,2,3,6338,0,20378,20378,0.3110216900579056,2,3.0,0,0,202000581,202001756,0,6338,20378,0,20378,3.0,2
202001758,581,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Baldwin Park,0,CITY CLERK,6,OTHER CITY,,Short,1,Valenzuela,Joanna,Patient Care Coordinator,N,2,3,6378,0,20378,20378,0.3129845912258318,2,2.0,1,0,202000581,202001757,0,6378,20378,0,20378,2.0,2
202001759,608,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Inglewood,0,CITY CLERK,6,OTHER CITY,,Full,1,Thompson,Aisha L.,Deputy City Clerk,N,2,2,28521,0,40762,40762,0.6996957951032825,1,1.0,0,0,202000608,202001758,0,28521,40762,0,40762,1.0,1
202001760,608,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Inglewood,0,CITY CLERK,6,OTHER CITY,,Full,1,Warren,Deandre,Mental Health Specialist,N,2,2,12241,0,40762,40762,0.30030420489671755,2,2.0,0,0,202000608,202001759,0,12241,40762,0,40762,2.0,2
202001762,628,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Maywood,0,CITY CLERK,6,OTHER CITY,,Full,1,Aguiluz,Flor,College Student,N,2,2,4744,0,6216,6216,0.7631917631917632,1,1.0,0,0,202000628,202001761,0,4744,6216,0,6216,1.0,1
202001763,628,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Maywood,0,CITY CLERK,6,OTHER CITY,,Full,1,Flores,Cesar,Insurance Adjuster,N,2,2,1472,0,6216,6216,0.23680823680823682,2,2.0,0,0,202000628,202001762,0,1472,6216,0,6216,2.0,2
202001764,631,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Montebello,0,CITY CLERK,6,OTHER CITY,,Full,1,Arreola,Dillon,City Commissioner/Entrepreneur,N,2,4,5829,0,19624,19624,0.2970342437831227,2,2.0,1,0,202000631,202001763,0,5829,19624,0,19624,2.0,2
202001765,631,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Montebello,0,CITY CLERK,6,OTHER CITY,,Full,1,Gomez,Johnny,HR Generalist,N,2,4,1568,0,19624,19624,0.07990216061964941,2,4.0,0,0,202000631,202001764,0,1568,19624,0,19624,4.0,2
202001766,631,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Montebello,0,CITY CLERK,6,OTHER CITY,,Full,1,Jimenez,Christopher,Community Services Coordinator,N,2,4,7049,0,19624,19624,0.3592030167142275,1,1.0,1,0,202000631,202001765,0,7049,19624,0,19624,1.0,1
202001767,631,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Montebello,0,CITY CLERK,6,OTHER CITY,,Full,1,Tapia,"Robert ""Bob""",Financial Consultant,N,2,4,5178,0,19624,19624,0.2638605788830004,2,3.0,0,0,202000631,202001766,0,5178,19624,0,19624,3.0,2
202002175,693,24,2,MERCED,2020,2020-11-03 00:00:00,Livingston,0,CITY CLERK,6,OTHER CITY,,Full,1,Vasquez-Zurita,Leticia,Clinical Social Worker,N,2,1,3756,45,3756,3801,0.9881610102604578,1,1.0,0,0,202000693,202002174,0,3756,3756,45,3801,1.0,1
202002361,781,30,2,ORANGE,2020,2020-11-03 00:00:00,Laguna Beach,0,CITY CLERK,6,OTHER CITY,,Full,1,McKay,Ann Marie,Law Office Manager,N,2,2,6626,0,12832,12832,0.5163653366583542,1,1.0,0,0,202000781,202002360,0,6626,12832,0,12832,1.0,1
202002362,781,30,2,ORANGE,2020,2020-11-03 00:00:00,Laguna Beach,0,CITY CLERK,6,OTHER CITY,,Full,1,Tracy,Mariann,Executive Assistant,N,2,2,6206,0,12832,12832,0.4836346633416459,2,2.0,0,0,202000781,202002361,0,6206,12832,0,12832,2.0,2
202002683,843,33,2,RIVERSIDE,2020,2020-11-03 00:00:00,Banning,0,CITY CLERK,6,OTHER CITY,,Full,1,Sellers,Vickie,Retired Administrative Assistant,N,2,2,5298,0,10934,10934,0.48454362538869583,2,2.0,0,0,202000843,202002680,0,5298,10934,0,10934,2.0,2
202002933,931,36,2,SAN BERNARDINO,2020,2020-11-03 00:00:00,Barstow,0,CITY CLERK,6,OTHER CITY,,Full,1,Flores,"Andrea ""Andi""",Bookkeeper / Tax Preparer,N,2,2,3916,0,6444,6444,0.6076970825574177,1,1.0,0,0,202000931,202002930,0,3916,6444,0,6444,1.0,1
202002934,931,36,2,SAN BERNARDINO,2020,2020-11-03 00:00:00,Barstow,0,CITY CLERK,6,OTHER CITY,,Full,1,Minor,Yolanda Baca,Legal Processing Assistant,N,2,2,2528,0,6444,6444,0.3923029174425822,2,2.0,0,0,202000931,202002931,0,2528,6444,0,6444,2.0,2
202002936,958,36,2,SAN BERNARDINO,2020,2020-11-03 00:00:00,Ontario,0,CITY CLERK,6,OTHER CITY,,Full,1,Galvez,Richard,Paralegal,N,2,2,18714,0,54750,54750,0.3418082191780822,2,2.0,0,0,202000958,202002933,0,18714,54750,0,54750,2.0,2
202002939,963,36,2,SAN BERNARDINO,2020,2020-11-03 00:00:00,Redlands,0,CITY CLERK,6,OTHER CITY,,Full,1,George,Roy,Mortgage Loan Officer,N,2,2,8733,0,31704,31704,0.27545420136260407,2,2.0,0,0,202000963,202002936,0,8733,31704,0,31704,2.0,2
202003156,1016,37,2,SAN DIEGO,2020,2020-11-03 00:00:00,National,0,CITY CLERK,6,OTHER CITY,,Full,1,Alvarado,Javier,Auditor/Healthcare Trustee,N,2,2,7821,0,17412,17412,0.44917298414886286,2,2.0,0,0,202001016,202003153,0,7821,17412,0,17412,2.0,2
202003157,1016,37,2,SAN DIEGO,2020,2020-11-03 00:00:00,National,0,CITY CLERK,6,OTHER CITY,,Full,1,Molina,Luz,Academic Research Administrator,N,2,2,9591,0,17412,17412,0.5508270158511371,1,1.0,0,0,202001016,202003154,0,9591,17412,0,17412,1.0,1
202003158,1019,37,2,SAN DIEGO,2020,2020-11-03 00:00:00,Oceanside,0,CITY CLERK,6,OTHER CITY,,Full,1,Bassett,Laura Richardson,Trust Administrator/Broker,N,2,2,27153,0,75843,75843,0.35801590126972826,2,2.0,0,0,202001019,202003155,0,27153,75843,0,75843,2.0,2
202003393,1076,41,2,SAN MATEO,2020,2020-11-03 00:00:00,Daly City,0,CITY CLERK,6,OTHER CITY,,Full,1,Manalo,Carley-Ann,Lead Administrative Manager,N,2,2,15486,0,35375,35375,0.43776678445229683,2,2.0,0,0,202001076,202003390,0,15486,35375,0,35375,2.0,2
202003730,1201,48,2,SOLANO,2020,2020-11-03 00:00:00,Suisun City,0,CITY CLERK,6,OTHER CITY,,Full,1,Skinner,Anita L.,Retired Administrative Assistan,N,2,1,10429,0,10429,10429,1.0,1,1.0,0,0,202001200,202003722,0,10429,10429,0,10429,1.0,1
202003914,1255,51,2,SUTTER,2020,2020-11-03 00:00:00,Yuba,0,CITY CLERK,6,OTHER CITY,,Full,1,Sillman,Jackie,Candidate - City Clerk,N,2,1,21882,0,21882,21882,1.0,1,1.0,0,0,202001254,202003906,0,21882,21882,0,21882,1.0,1
202003973,1288,56,2,VENTURA,2020,2020-11-03 00:00:00,Oxnard,0,CITY CLERK,6,OTHER CITY,,Full,1,Chaparro,Rose,Deputy City Clerk,N,2,1,56037,0,56037,56037,1.0,1,1.0,0,0,202001287,202003965,0,56037,56037,0,56037,1.0,1
202001768,605,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Hawthorne,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Duran,Luis,Community Development Planner,N,2,5,5868,0,43639,43639,0.13446687595957743,2,5.0,0,0,202000605,202001767,0,5868,43639,0,43639,5.0,2
202001769,605,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Hawthorne,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Patterson,L. David,City Treasurer/Businessman,N,2,5,11809,0,43639,43639,0.270606567519879,1,1.0,0,0,202000605,202001768,0,11809,43639,0,43639,1.0,1
202001770,605,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Hawthorne,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Reyes-English,Angie,Education Deputy/Caseworker,N,2,5,10426,0,43639,43639,0.23891473223492748,1,2.0,0,0,202000605,202001769,0,10426,43639,0,43639,2.0,1
202001771,605,19,2,LOS ANGELES,2020,2020-11-03 00:00:00,Hawthorne,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Shepard,Amie L.,Businesswoman,N,2,5,7777,0,43639,43639,0.17821214968262333,2,3.0,0,0,202000605,202001770,0,7777,43639,0,43639,3.0,2
200202670,840,33,2,RIVERSIDE,2002,2002-11-03 00:00:00,Menifee,0,CITY COUNCIL,2,CITY COUNCIL,1,Full,1,Karwin,Bob,Attorney,N,2,2,6439,0,11084,11084,0.5809274630097437,1,1.0,0,0,200200840,200200001,0,6439,11084,0,11084,1.0,1
200202671,840,33,2,RIVERSIDE,2002,2002-11-03 00:00:00,Menifee,0,CITY COUNCIL,2,CITY COUNCIL,1,Full,1,Tomassini,Yamil,Businessman,N,2,2,4645,0,11084,11084,0.4190725369902562,2,2.0,0,0,200200840,200200002,0,4645,11084,0,11084,2.0,2
200203689,1171,47,2,SISKIYOU,2002,2002-11-03 00:00:00,Mount Shasta,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Kreeger,Betty J.,Retired Legal Assistant,N,2,5,627,0,4314,4314,0.14534075104311545,2,5.0,0,0,200201170,200200003,0,627,4314,0,4314,5.0,2
200203690,1171,47,2,SISKIYOU,2002,2002-11-03 00:00:00,Mount Shasta,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Montgomery,Tessa,Certified Public Accountant,N,2,5,1187,0,4314,4314,0.275150672229949,1,1.0,0,0,200201170,200200004,0,1187,4314,0,4314,1.0,1
200203692,1171,47,2,SISKIYOU,2002,2002-11-03 00:00:00,Mount Shasta,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Stearns,Timothy H.,Lawyer/Business Owner,N,2,5,941,0,4314,4314,0.21812702828001854,1,2.0,0,0,200201170,200200006,0,941,4314,0,4314,2.0,1
202000865,335,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Alameda,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Codiga,Gig,Business Executive,N,2,5,12942,231,70565,70796,0.18280693824509858,2,5.0,0,0,202000335,202000868,0,12942,70565,231,70796,5.0,2
202000867,335,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Alameda,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,Spencer,Trish,Attorney,N,2,5,14253,231,70565,70796,0.2013249336120685,1,2.0,0,0,202000335,202000870,0,14253,70565,231,70796,2.0,1
202000869,335,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Alameda,0,CITY COUNCIL,2,CITY COUNCIL,,Full,2,White,Amos J.,Environmental Nonprofit Executive,N,2,5,14187,231,70565,70796,0.20039267755240409,2,3.0,0,0,202000335,202000872,0,14187,70565,231,70796,3.0,2
202000870,337,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Albany,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Abbott,Tod,Local Business Owner,N,2,4,4906,128,21953,22081,0.22218196639644944,2,4.0,0,0,202000337,202000873,0,4906,21953,128,22081,4.0,2
202000871,337,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Albany,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Ge'nell,Gary,Liability Program Manager,N,2,4,5400,128,21953,22081,0.24455414156967528,1,2.0,0,0,202000337,202000874,0,5400,21953,128,22081,2.0,1
202000872,337,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Albany,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Jordan,Preston,Engineering Geologist/Hydrogeologist,N,2,4,6254,128,21953,22081,0.2832299261808795,1,1.0,0,0,202000337,202000875,0,6254,21953,128,22081,1.0,1
202000873,337,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Albany,0,CITY COUNCIL,2,CITY COUNCIL,,Full,3,Tiedemann,Aaron,Housing Analyst/Student,N,2,4,5393,128,21953,22081,0.2442371269417146,1,3.0,0,0,202000337,202000876,0,5393,21953,128,22081,3.0,1
202000874,338,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,2,Full,1,Carter,Timothy W.,Business Owner/Commissioner,N,2,4,553,38,8141,8179,0.06761217752781513,2,4.0,0,0,202000338,202000877,0,553,8141,38,8179,4.0,2
202000876,338,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,2,Full,1,Sharenko,Alex,Solar Energy Scientist,N,2,4,1962,38,8141,8179,0.2398826262379264,2,3.0,0,0,202000338,202000879,0,1962,8141,38,8179,3.0,2
202000877,338,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,2,Full,1,Taplin,Terry,Transportation Commission Vice-Chair,N,2,4,3213,38,8141,8179,0.39283530994009047,1,1.0,1,0,202000338,202000880,0,3213,8141,38,8179,1.0,1
202000879,339,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,3,Full,1,Martinez,Orlando,Construction Manager,N,2,3,494,38,7656,7694,0.06420587470756434,2,3.0,0,0,202000339,202000882,0,494,7656,38,7694,3.0,2
202000880,339,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,3,Full,1,Matthews,Deborah,Real Estate Broker,N,2,3,1834,38,7656,7694,0.23836755913698987,2,2.0,0,0,202000339,202000883,0,1834,7656,38,7694,2.0,2
202000881,340,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,5,Full,1,Andrew,Todd,Real Estate Salesperson,N,2,3,1886,37,9977,10014,0.18833632913920512,2,2.0,0,0,202000340,202000884,0,1886,9977,37,10014,2.0,2
202000883,340,1,2,ALAMEDA,2020,2020-11-03 00:00:00,Berkeley,0,CITY COUNCIL,2,CITY COUNCIL,5,Full,1,Picklesimer,Paul Darwin,Community Center Manager,N,2,3,425,37,9977,10014,0.04244058318354304,2,3.0,0,0,202000340,202000886,0,425,9977,37,10014,3.0,2
