RecordID,RACEID,CO#,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#,VOTES,WRITEIN,SUMVOTES,TOTVOTES,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,Multi_RaceID,Multi_CandID,Multi_CO,Indivtotal_votes,Multitotal_votes,Total_writein,Newtotvotes,Rindivto,Newelected
202100001,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Ramos,Manuel H.,Retired National Guard,N,2,8,178,0,919,919,0.19368879216539717,1,1,0,0,202100001,202100001,0,178,919,0,919,1,1
202100002,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Sierra,Lidia Armida,Social Worker,N,2,8,172,0,919,919,0.18715995647442873,1,2,0,0,202100001,202100002,0,172,919,0,919,2,1
202100003,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Robles,Rogelio Flores,Communications Technician,N,2,8,158,0,919,919,0.1719260065288357,1,3,0,0,202100001,202100003,0,158,919,0,919,3,1
202100004,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Ramirez,Oscar,Construction Worker,N,2,8,107,0,919,919,0.11643090315560392,2,4,0,0,202100001,202100004,0,107,919,0,919,4,2
202100005,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Friese,Mike,Retired Electrical Engineer,N,2,8,85,0,919,919,0.09249183895538629,2,5,0,0,202100001,202100005,0,85,919,0,919,5,2
202100006,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Quiroz,Barbara M.,Incumbent,Y,1,8,78,0,919,919,0.08487486398258977,2,6,0,0,202100001,202100006,0,78,919,0,919,6,2
202100007,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,"Klontz, Jr.",Walter Chris,Incumbent,Y,1,8,76,0,919,919,0.08269858541893363,2,7,0,0,202100001,202100007,0,76,919,0,919,7,2
202100008,1,13,1,IMPERIAL,2021,2021-11-02,Imperial,1,"DIRECTOR, Salton CSD",4,,Full,3,Connelly,John,Appointed Incumbent,Y,1,8,65,0,919,919,0.07072905331882481,2,8,0,0,202100001,202100008,0,65,919,0,919,8,2
202100009,2,30,1,ORANGE,2021,2021-03-09,Orange,0,COUNTY SUPERVISOR,1,2.0,Short,1,Foley,Katrina,Mayor/Orange County Businessowner,N,2,5,48346,0,110447,110447,0.4377303140872998,1,1,1,0,202100002,202100009,0,48346,110447,0,110447,1,1
202100010,2,30,1,ORANGE,2021,2021-03-09,Orange,0,COUNTY SUPERVISOR,1,2.0,Short,1,Moorlach,John M. W.,California State Senator,N,2,5,34747,0,110447,110447,0.31460338442873054,2,2,1,0,202100002,202100010,0,34747,110447,0,110447,2,2
202100011,2,30,1,ORANGE,2021,2021-03-09,Orange,0,COUNTY SUPERVISOR,1,2.0,Short,1,Muldoon,Kevin,Councilman/Small Businessman,N,2,5,12773,0,110447,110447,0.11564822946752741,2,3,0,0,202100002,202100011,0,12773,110447,0,110447,3,2
202100012,2,30,1,ORANGE,2021,2021-03-09,Orange,0,COUNTY SUPERVISOR,1,2.0,Short,1,Vo,Michael,Mayor/Business Owner,N,2,5,9886,0,110447,110447,0.08950899526469709,2,4,0,0,202100002,202100012,0,9886,110447,0,110447,4,2
202100013,2,30,1,ORANGE,2021,2021-03-09,Orange,0,COUNTY SUPERVISOR,1,2.0,Short,1,Rappaport,Janet,Tax Attorney,N,2,5,4695,0,110447,110447,0.04250907675174518,2,5,0,0,202100002,202100013,0,4695,110447,0,110447,5,2
202100014,3,47,1,SISKIYOU,2021,2021-11-02,Siskiyou,1,"DIRECTOR, Hornbrook CSD",4,,Full,3,"Puckett, Sr.",Robert D.,Incumbent,Y,1,4,58,37,148,185,0.31351351351351353,1,1,0,0,202100003,202100014,0,58,148,37,185,1,1
202100015,3,47,1,SISKIYOU,2021,2021-11-02,Siskiyou,1,"DIRECTOR, Hornbrook CSD",4,,Full,3,Schauffler,Bryant,Teacher,N,2,4,51,37,148,185,0.2756756756756757,1,2,0,0,202100003,202100015,0,51,148,37,185,2,1
202100016,3,47,1,SISKIYOU,2021,2021-11-02,Siskiyou,1,"DIRECTOR, Hornbrook CSD",4,,Full,3,Scheimer,Randy,No Ballot Designation,N,2,4,20,37,148,185,0.10810810810810811,1,3,0,0,202100003,202100016,0,20,148,37,185,3,1
202100017,3,47,1,SISKIYOU,2021,2021-11-02,Siskiyou,1,"DIRECTOR, Hornbrook CSD",4,,Full,3,Stillman,Billie Starr,Grandmother/Student,N,2,4,19,37,148,185,0.10270270270270271,2,4,0,0,202100003,202100017,0,19,148,37,185,4,2
202100018,4,49,1,SONOMA,2021,2021-09-14,Sonoma,0,DISTRICT ATTORNEY-R,5,1.0,Short,1,Figueroa,Omar,Write-in Candidate,N,2,2,1514,0,1972,1972,0.7677484787018256,1,1,0,0,202100004,202100018,0,1514,1972,0,1972,1,1
202100019,4,49,1,SONOMA,2021,2021-09-14,Sonoma,0,DISTRICT ATTORNEY-R,5,1.0,Short,1,Castagnola,Joe,Write-in Candidate,N,2,2,458,0,1972,1972,0.23225152129817445,2,2,0,0,202100004,202100019,0,458,1972,0,1972,2,2
202100020,5,49,1,SONOMA,2021,2021-11-02,Sonoma,1,"DIRECTOR, Occidental CSD",4,,Full,2,Gonnella,John,No Ballot Designation,Y,1,3,458,0,1098,1098,0.41712204007285975,1,1,0,0,202100005,202100020,0,458,1098,0,1098,1,1
202100021,5,49,1,SONOMA,2021,2021-11-02,Sonoma,1,"DIRECTOR, Occidental CSD",4,,Full,2,Martin,Chris,No Ballot Designation,Y,1,3,367,0,1098,1098,0.3342440801457195,1,2,0,0,202100005,202100021,0,367,1098,0,1098,2,1
202100022,5,49,1,SONOMA,2021,2021-11-02,Sonoma,1,"DIRECTOR, Occidental CSD",4,,Full,2,"Gaffney, IV",Eugene M.,No Ballot Designation,N,2,3,273,0,1098,1098,0.24863387978142076,2,3,0,0,202100005,202100022,0,273,1098,0,1098,3,2
202100023,6,1,2,ALAMEDA,2021,2021-11-02,Emeryville,0,CITY COUNCIL,2,,Short,1,Welch,Courtney,Policy Director,N,2,2,1033,0,1738,1738,0.594361334867664,1,1,0,0,202100006,202100023,0,1033,1738,0,1738,1,1
202100024,6,1,2,ALAMEDA,2021,2021-11-02,Emeryville,0,CITY COUNCIL,2,,Short,1,Danielsson-Chang,Charlotte,Attorney,N,2,2,705,0,1738,1738,0.40563866513233604,2,2,0,0,202100006,202100024,0,705,1738,0,1738,2,2
