CO,JUR,CNTYNAME,DATE,PLACE,M/R,LTR,BALQUEST,TYPECODE,TYPENAME,TOPCODE,TOPNAME,YES,NO,TOTAL,PERCENT,REQ,PASSFAIL
9,1,EL DORADO,1995-11-07,ELDORADO COUNTY,Measure,B,"ADVISORY VOTE ONLY.  Major traffic improvements are clearly needed along Missouri Flat Road and at Missouri Flat Road and Highway 50.  In order to bring about the construction of these improvements without raising or imposing new residential taxes, it has been suggested that new commercial development be allowed along the Missouri Flat corridor.  That development would be solely responsible for generating the funds needed to construct the necessary improvements.  Would you favor this approach?",30.0,Advisory,22.0,Land Use: Zoning,7939,6694,14633,0.5425408323652019,M,Pass
9,1,EL DORADO,1995-11-07,ELDORADO COUNTY,Measure,I,"Shall the El Dorado County Charter be amended to provide for review and appraisal of performance of all appointed department heads, except County Counsel, on at least an annual basis by the Chief Administrative Officer, with the appraisal to be submitted to the Board of Supervisors?",20.0,Charter Amendment,42.0,Governance: Personnel/Offices,20436,5443,25879,0.7896750260829244,M,Pass
9,1,EL DORADO,1995-11-07,ELDORADO COUNTY,Measure,J,Shall the El Dorado County Charter be amended to provide that the Board of Supervisors shall review the County Counsel's performance at least once a year?,20.0,Charter Amendment,42.0,Governance: Personnel/Offices,21345,4343,25688,0.830932731236375,M,Pass
9,1,EL DORADO,1995-11-07,ELDORADO COUNTY,Measure,L,"Shall a subdivision (d) of Section 210 be added to the El Dorado County Charter to read as follows?  (d) The Board, commencing with the fiscal year 1996-1997, shall annually budget and allocate from the County General Fund for the operation of the County library system, an amount equal to 80% of annually collected assessments for those zones receiving a majority voter approval on November 7, 1995.  Such amounts shall be in addition to the debt service incurred for the Cameron Park Branch Library.  This provision shall be effective only for a period of ten (10) years and shall thereafter be repealed without further amendment of this Charter.",20.0,Charter Amendment,71.0,Facilities: Libraries,18242,8211,26453,0.6896004233924319,M,Pass
9,1,EL DORADO,1995-11-07,ELDORADO COUNTY,Measure,N,"Shall the El Dorado County Charter be amended to repeal Measure A, the Sheriff's Salary Initiative (approved by a majority vote on November 7, 1972); and in lieu thereof adopt this measure which provides the Board of Supervisors shall determine at least annually the existing average salaries for the South Lake Tahoe Police Department, Amador County Sheriff's Department and the California Highway Patrol using comparable class of positions to do so; and on the first day of January of each year thereafter adjust and determine the average salary for El Dorado County Sheriff's Department personnel using certain specified positions as guidelines?",20.0,Charter Amendment,40.0,Governance,17341,8171,25512,0.6797193477579179,M,Pass
19,1,LOS ANGELES,1995-03-07,LOS ANGELES COUNTY,Advisory Measure,--,"ADVISORY VOTE ONLY.  Should the County of Los Angeles acquire the Agua Dulce Airpark encompassing the operational area of approximately 70 acres and operate it as a public use, general aviation airport?",30.0,Advisory,,Transport,311,583,894,0.3478747203579418,M,Fail
21,1,MARIN,1995-11-07,MARIN COUNTY,Measure,A,"Shall Section 5 of Resolution 94-291, which approves amendments to the 1994 Countywide Plan, subject to conditions of approval and implementation of the mitigation, monitoring and reporting program, as related to the Buck Center for Research in Aging project, 8125 Redwood Boulevard, be adopted?",70.0,Ordinance,24.0,Land Use: Private Projects,28238,30724,58962,0.4789186255554425,M,Fail
30,1,ORANGE,1995-06-27,ORANGE COUNTY,Measure,R,"Ordinance No. 3933. An ordinance of the County of Orange, California imposing a bankruptcy recovery transactions and use tax to be administered by the State Board of Equalization.",1.0,Business Tax,40.0,Governance,148530,232997,381527,0.3893040335284266,M,Fail
36,1,SAN BERNARDINO,1995-06-06,SAN BERNARDINO COUNTY,Measure,Z,COUNTY SERVICE AREA 29 SPECIAL TAX.  Shall a special tax be levied to fund television translator services within County Service Area 29 in the maximum amount of $50.00 per year for three (3) years per improved parcel of real property within the district?,3.0,Property Tax,90.0,Other,292,454,746,0.3914209115281501,T,Fail
36,1,SAN BERNARDINO,1995-11-07,SAN BERNARDINO COUNTY,Measure,J,"(1) Shall a special tax be levied to fund television translator and low-power television services within improvement Zone TV-4 of County Service Area 70 in the maximum amount of $25.00 per year per improved parcel of real property within the zone?  and (2) Shall there be established for said Improvement Zone TV-4, pursuant to Section 4 of Article XIIIB of the California Constitution, a base appropriations limit of thirty thousand dollars ($30,000) to enable said zone to expend the proceeds of taxes in the furnishing of authorized services?",3.0,Property Tax,90.0,Other ,191,108,299,0.6387959866220736,T,Fail
36,1,SAN BERNARDINO,1995-11-07,SAN BERNARDINO COUNTY,Measure,K,"(1) Shall a special tax be levied to fund television translator and low-powered television services within Improvement Zone TV-5 of County Service Area 70 in the maximum amount of $25.00 per year per improved parcel of real property within the zone? and (2) Shall there be established for said Improvement Zone TV-5, pursuant to Section 4 of Article XIIIB of the California Constitution, a base appropriations limit of one hundred fifty thousand dollars ($150,000) to enable said zone to expend the proceeds of taxes in the furnishing of authorized services?",3.0,Property Tax,90.0,Other,1014,427,1441,0.703678001387925,T,Pass
41,1,SAN MATEO,1995-11-07,SAN MATEO COUNTY,Measure,A,"Shall the revised Charter approved by the San Mateo County Board of Supervisors at its regular meeting on June 27, 1995, for submission to the voters be ratified and adopted as the Charter of the County of San Mateo?",20.0,Charter Amendment,40.0,Governance,46911,35861,82772,0.5667496254772145,M,Pass
41,1,SAN MATEO,1995-11-07,SAN MATEO COUNTY,Measure,B,Shall the Charter of the County for San Mateo be amended to combine the elected offices of the Sheriff and the Coroner?,20.0,Charter Amendment,42.0,Governance: Personnel/Offices,43697,44491,88188,0.4954982537306663,M,Fail
50,1,STANISLAUS,1995-03-07,STANISLAUS COUNTY,Measure,C,"Shall the ordinance of the County of Stanislaus imposing a limited transactions and use tax of one-eighth of one percent for a period of not more than 5 years, commencing on July 1, 1995, to be used exclusively for County-wide library programs and operations, which have suffered severe cutbacks and are at risk of complete elimination, be adopted?",60.0,Gann Limit,71.0,Facilities: Libraries,28205,13131,41336,0.6823350106444745,T,Pass
54,1,TULARE,1995-06-06,TULARE COUNTY,Measure,J,COUNTY TRANSACTIONS AND USE TAX.  Shall approval be given to an ordinance adopted by the Tulare County Board of Supervisors to impose a one-half percent (1/2%) general retail transactions and use tax?,1.0,Business Tax,40.0,Governance,14598,9667,24265,0.6016072532454152,M,Pass
55,1,TUOLUMNE,1995-11-07,TUOLUMNE COUNTY,Measure,E,PROPOSED WASTE DISPOSAL LANDFILL ORDINANCE.  Should the zoning and general plan designation of the Jamestown Mine Facility be changed to a zone and designation that allows a waste disposal site?,70.0,Ordinance,22.0,Land Use: Zoning,2882,8078,10960,0.262956204379562,M,Fail
56,1,VENTURA,1995-11-07,VENTURA COUNTY,Measure,N,"SPECIAL LIBRARY TAX PROPOSAL DISTRICT.  PUBLIC LIBRARY IMPROVEMENT MEASURE WHICH AUGMENTS LIBRARY SERVICES AND/OR FACILITIES IN THE UNINCORPORATED AREAS OF THE VENTURA AND OJAI UNIFIED SCHOOL DISTRICTS BY ADOPTION OF A SPECIAL PARCEL TAX.  Shall the public library services and/or facilities be augmented through a special parcel tax of not more than $35 per parcel per year (with inflationary increases not to exceed 7% per year) for developed commercial, industrial, residential or agricultural (with a permanent dwelling) parcels (not owned by an exempt entity), within the unincorporated areas of the Ojai Unified School District and the Ventura Unified School District?",3.0,Property Tax,71.0,Facilities: Libraries,2339,1944,4283,0.5461125379406958,T,Fail
