MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
200100001,2001,36,2,SAN BERNARDINO,2001-01-23,FONTANA,0,M,T,"Shall the rate and method of apportionment of the special taxes levied upon the land within City of Fontana Community Facilities District No. 3 (Hunter's Ridge) be changed to reduce the maximum special tax rate applicable to land use category R-3 2500 from $1239.91 to $500.01 for fiscal year 2000-01, subject to annual increases of 2% per year, in accordance with Resolution No. 2000-95 adopted by the City Council of the City of Fontana on October 17, 2000?",3,3,Property Tax,111,111,Revenues: Tax Repeal/Reduction/Limit,1191,19,1210,0.984297520661157,T,1,PassT,0,200100001,1191,19,1210,0.984297520661157,1,PassT,1,110
200100002,2001,13,3,IMPERIAL,2001-02-27,SAN PASQUAL VALLEY UNIFIED,0,R,1,"Shall LA RUE DEPPE NELSON be recalled (removed) from the Office of Board of Trustees, San Pasqual Valley Unified School District?",50,50,Recall,13,13,Education: Recall,55,117,172,0.31976744186046513,M,2,Fail,0,200100002,55,117,172,0.31976744186046513,2,Fail,50,10
200100003,2001,7,1,CONTRA COSTA,2001-03-06,CONTRA COSTA,1,M,D,"Shall Ordinance 2000-38 of the Board of Supervisors of Contra Costa County be approved so as to authorize an increase in the special tax on property located in County Service Area P-5 from $150 per parcel per year to $330 per parcel per year, for all parcels except those used for commercial recreational purposes which shall continue to be taxed at a higher rate, in order to provide additional funding for police protection service?",3,3,Property Tax,32,32,Safety: Police,632,157,789,0.8010139416983524,T,1,PassT,0,200100003,632,157,789,0.8010139416983524,1,PassT,1,30
200100004,2001,16,1,KINGS,2001-03-06,KINGS,0,M,A,"(Advisory) Shall any new voter-approved sales taxes be used to pay for the following criminal-justice improvements? Expanded jail facilities to keep criminals behind bars. Increased Juvenile Hall capacity to hold juveniles and gang members accountable for criminal acts. Expanded juvenile programs, including the boot camp, to rehabilitate juvenile offenders. Improved Sheriff's operations facilities in aide of law enforcement.",30,30,Advisory,31,31,Safety: Jails/Courts,5209,3273,8482,0.6141240273520396,M,1,Pass,0,200100004,5209,3273,8482,0.6141240273520396,1,Pass,30,30
200100005,2001,16,1,KINGS,2001-03-06,KINGS,0,M,B,"Shall the Board of Supervisors enact a one-half percent sales tax for general County purposes with the following mandatory restrictions? 1. The tax shall expire within eight years. 2. A local citizens' Oversight Committee is formed to monitor all expenditures of the sales tax proceeds, to cause an annual independent audit of the expenditures, and to report it audit annually to the public.",4,4,Sales Tax,112,112,Revenues: Tax Creation/Incr./Contin.,4074,4398,8472,0.48087818696883855,M,2,Fail,0,200100005,4074,4398,8472,0.48087818696883855,2,Fail,1,110
200100006,2001,21,1,MARIN,2001-03-06,MARIN,1,M,B,"Shall the special tax for Sheriff patrol services, levied annually upon living units located within County Service Area No. 17 (Kent Woodlands) be increased from $195.00 per year to an amount not to exceed $260.00 per year for each living unit within that area commencing with the 2001-2002 fiscal year?",3,3,Property Tax,32,32,Safety: Police,441,56,497,0.8873239436619719,T,1,PassT,0,200100006,441,56,497,0.8873239436619719,1,PassT,1,30
200100007,2001,32,1,PLUMAS,2001-03-06,PLUMAS,1,M,M,"Upon a two-thirds vote of approval, shall a special tax of $420 per residential parcel per fiscal year and a special tax of $1260.00 per commercial parcel per fiscal year be imposed on each and every above defined parcels within the boundaries of the Whitehawk Ranch Community Services District, excluding those parcels exampt from county property tax? These tax funds will be used for the purpose of funding the services of the volunteer fire department, fire protection and prevention, emergency medical response, and the improvement, operation, management and maintenace of the recreational facilities and amenities to be deeded to the District by Mohawk Valley Ranch, Inc. The tax will commence in the fiscal year starting July 1 2000. The method of collection said tax during the first fiscal year (July 1, 2000 through June 30, 2001) will be by statement sent to the owner of record of each above described parcel as of January 1,2001, by first class mail, payable in either one or two installments prior to June 30, 2001. Thereafter, the special tax will be collected and apportioned along with the county property taxes, and the District's appropriations limit (spending limit) under the California Constitution Article XIIIB to be raised by the amount of the annual proceeds of the tax.",3,3,Property Tax,31,31,Safety: Jails/Courts,71,5,76,0.9342105263157895,T,1,PassT,0,200100007,71,5,76,0.9342105263157895,1,PassT,1,30
200100008,2001,42,1,SANTA BARBARA,2001-03-06,SANTA BARBARA,1,M,G,"Shall the order adopted on November 14, 2000 by the Board of Supervisors of the County of Santa Barbara ordering the formation of the Orcutt Community Services District and detachment from County Service Area No. 5 be confirmed subject to the terms and conditions specified in the order, including the authorization of a special tax as described?",70,70,Ordinance,44,44,Governance: Incorporation/Formation/Annexation,1462,4959,6421,0.22769039090484347,M,2,Fail,0,200100008,1462,4959,6421,0.22769039090484347,2,Fail,70,40
200100009,2001,7,2,CONTRA COSTA,2001-03-06,HERCULES,0,M,E,Shall the proposed ordinance increasing the Uniform Transient Occupancy Tax to ten percent (10%) be adopted?,9,9,Transient Occupancy Tax,112,112,Revenues: Tax Creation/Incr./Contin.,1721,1337,3058,0.5627861347285807,M,1,Pass,0,200100009,1721,1337,3058,0.5627861347285807,1,Pass,1,110
200100010,2001,7,2,CONTRA COSTA,2001-03-06,HERCULES,0,M,F,Shall the proposed ordinance add Chapter 8 To Title X of the Hercules Municipal Code Establishing an Admission tax on Sporting and Entertainment Events in the City of Hercules?,7,7,Miscellaneous Tax,112,112,Revenues: Tax Creation/Incr./Contin.,1811,1256,3067,0.5904792957287252,M,1,Pass,0,200100010,1811,1256,3067,0.5904792957287252,1,Pass,1,110
200100011,2001,7,2,CONTRA COSTA,2001-03-06,HERCULES,0,M,G,(Advisory) Shall the people of the City of Hercules secede from the West Contra Costa Unified School District and form a new school district or merge with an adjoining school district?,30,30,Advisory,12,12,Education: Districts,1395,1815,3210,0.43457943925233644,M,2,Fail,0,200100011,1395,1815,3210,0.43457943925233644,2,Fail,30,10
200100012,2001,16,2,KINGS,2001-03-06,CORCORAN,0,R,1,(Recall) Shall Joan Garcia-Munoz be recalled (removed) from the office of Council Member of the City of Corcoran?,50,50,Recall,46,46,Governance: Recall,927,105,1032,0.8982558139534884,M,1,Pass,0,200100012,927,105,1032,0.8982558139534884,1,Pass,50,40
200100013,2001,19,2,LOS ANGELES,2001-03-06,HAWAIIAN GARDENS,0,M,01-A,"Shall the City Council adopt an Ordinance which imposes a 9% tax on persons staying 30 days or less in hotels, motels, and similar lodgings within the City?",9,9,Transient Occupancy Tax,112,112,Revenues: Tax Creation/Incr./Contin.,510,439,949,0.5374077976817703,M,1,Pass,0,200100013,510,439,949,0.5374077976817703,1,Pass,1,110
200100014,2001,19,2,LOS ANGELES,2001-03-06,HAWAIIAN GARDENS,0,M,01-B,Shall the City Administrator have the permanent authority to hire a City Clerk as a City employee at the expiration of the current term or earlier vacancy of the Office?,70,70,Ordinance,43,43,Governance: Organization,521,429,950,0.5484210526315789,M,1,Pass,0,200100014,521,429,950,0.5484210526315789,1,Pass,70,40
200100015,2001,19,2,LOS ANGELES,2001-03-06,PASADENA,0,M,A,"(Initiative) Shall an Initiative Ordinance of the City of Pasadena be adopted to declare the policy of the City of Pasadena to be in favor of completing the 710 Freeway extension between the 1-210 and the 1-10 Freeways, and to declare that such policy could not be changed or repealed without a vote of people?",40,40,Initiative,62,62,Transport: Roads,9654,6908,16562,0.5829006158676489,M,1,Pass,0,200100015,9654,6908,16562,0.5829006158676489,1,Pass,40,60
200100016,2001,19,2,LOS ANGELES,2001-03-06,PASADENA,0,M,B,"Shall the Pasadena City Charter be amended to prohibit elected and appointed local public officials from receiving what is specified as a ""public or campaign advantage"" from recipients of certain public benefits?",20,20,Charter Amendment,45,45,Governance: Political Reform/Term Limits,8845,5865,14710,0.6012916383412644,M,1,Pass,0,200100016,8845,5865,14710,0.6012916383412644,1,Pass,20,40
200100017,2001,19,2,LOS ANGELES,2001-03-06,PASADENA,0,M,C,Shall an Ordinance be adopted to require preparation of a Citywide Transportation and Traffic Management Plan and to direct that the City take no position supporting or opposing the 710 Freeway extension until that Plan and federally funded traffic improvement measures required in the Federal Government's Record of Decision approving the 710 Freeway extension are fully implemented and evaluated?,70,70,Ordinance,62,62,Transport: Roads,7232,8912,16144,0.44796828543111994,M,2,Fail,0,200100017,7232,8912,16144,0.44796828543111994,2,Fail,70,60
