MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,Orig_TYPE,RECTYPE,RECTYPENAME,Orig_TOPIC,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topicrec,OTH
201200077,2012,1,2,ALAMEDA,2012-02-07,Piedmont,2,M,M,"Shall Chapter 20F be added to the Piedmont City Code providing for a new 10-year Special Municipal Sewer Surtax, as more specifically set forth in Ord. 699 N.S. which is on file with the Piedmont City Clerk?",7,7,Miscellaneous Tax,102,102,General Services: Wastewater/Sewage,2000,1949,3949,0.506457,T,2,FailT,0,201200001,2000,1949,3949,0.506457,2,FailT,1,100,0
201200078,2012,1,2,ALAMEDA,2012-06-05,Alameda,2,M,C,"To maintain neighborhood crime patrols, fire protection and 911 emergency response; improve earthquake preparedness; replace an unsafe fire station; establish a citywide Emergency Operations Center, a joint police/fire training facility, library, cultural and recreational facilities, shall the City of Alameda enact a one-half cent sales tax, with all revenue staying in the City, mandatory annual audits and public expenditure reports?",4,4,Sales Tax,112,112,Revenues: Tax Creation/Incr./Contin.,8616,8426,17042,0.505574,T,2,FailT,0,201200002,8616,8426,17042,0.505574,2,FailT,1,110,0
201200325,2012,1,3,ALAMEDA,2012-06-05,Dublin Unified,2,M,E,"To protect quality education with funding that cannot be taken by the State, shall Dublin Unified School District update/replace aging classrooms/science labs; provide 21st century computers/technology/classrooms; ensure classrooms meet safety codes; prevent student overcrowding; and improve energy/operational efficiency and utilize savings for teachers/instruction, by issuing $99 million in bonds at legal rates, with independent oversight, no money for administrators, and all funds staying in Dublin?",11,11,GO Bond,11,11,Education: Bonds,4205,2575,6780,0.620206,F,1,PassF,0,201200003,4205,2575,6780,0.620206,1,PassF,10,10,0
201200326,2012,1,3,ALAMEDA,2012-06-05,Hayward Unified,2,M,G,"To protect critical education programs, with funds that cannot be taken by the State, including: math, reading, writing, and hands-on science classes/labs; enhancing library services, technology and college preparation programs; providing programs for all students to meet State academic standards; and attracting and retaining qualified teachers; shall Hayward Unified School District be authorized to levy $58 per parcel annually, for five years, with an exemption for senior citizens, mandatory citizens' oversight and all money used for classrooms?",3,3,Property Tax,10,10,Education,12736,5245,17981,0.708303,T,1,PassT,0,201200004,12736,5245,17981,0.708303,1,PassT,1,10,0
201200327,2012,1,3,ALAMEDA,2012-06-05,New Haven Unified,2,M,H,"To support high-qaulity local elementary, middle and high school education to prepare students for college and careers with outstanding core academic programs in reading, writing, math and science and highly qualified teachers and classified staff, shall New Haven Unified School District authorize a school parcel tax of $180 per year, for four years, with citizen oversight, no funds for administrators' salaries, an exemption available for seniors and the disabled, and all funds staying in our local schools?",3,3,Property Tax,10,10,Education,6344,3735,10079,0.629428,T,2,FailT,0,201200005,6344,3735,10079,0.629428,2,FailT,1,10,0
201200328,2012,1,3,ALAMEDA,2012-06-05,Peralta Community College,2,M,B,"To provide College of Alameda Laney College, Merritt College and Berkeley City College secure funds that cannot be taken by the state, and support affordable college education including: providing core academic programs including math, science and English; training students for successful careers; and educating students to transfer to university; shall Peralta Community College District levy $48 per parcel annually for 8 years with Citizens' Oversight, no funds for administrators' salaries, and all funds spent in our college district?",3,3,Property Tax,10,10,Education,76044,28324,104368,0.728614,T,1,PassT,0,201200006,76044,28324,104368,0.728614,1,PassT,1,10,0
201200001,2012,1,1,ALAMEDA,2012-11-06,Alameda,2,M,A1,"To maintain/upgrade humane animal care and basic needs (food, medical, heating, cooling, safe enclosures); retain veterinarians/animal specialists; care for wounded/endangered animals; support wildlife conservation; maintain children's educational, nature/science programs, field trips; and keep entrance fees affordable; shall Alameda County levy a tax of $12/parcel annually for residential parcels and comparable commercial/industrial rates, with low-income senior exemptions, mandatory audits, and citizens' oversight?",3,3,Property Tax,75,75,Facilities: Zoos,340933,200333,541266,0.629881,T,2,FailT,0,201200007,340933,200333,541266,0.629881,2,FailT,1,70,0
201200002,2012,1,1,ALAMEDA,2012-11-06,Alameda,2,M,B1,"Shall a new Transportation Expenditure Plan be implemented to address current and future transportation needs that: 1) Improves transit access to jobs and schools; 2) Fixes roads, improves highways and increases bicycle and pedestrian safety; 3) Reduces traffic congestion and improves air quality; 4) Keeps senior, youth, and disabled fares affordable. Approval extends the existing County sales tax and increases it by 1/2 cent, with independent oversight, local job creation programs. No money can be taken by the state.",4,4,Sales Tax,60,60,Transport,350899,176504,527403,0.665334,T,2,FailT,0,201200008,350899,176504,527403,0.665334,2,FailT,1,60,0
201200079,2012,1,2,ALAMEDA,2012-11-06,Alameda,2,M,D,"Shall the Charter of the City of Alameda be amended by amending Section 22-12 to eliminate language that allows the City Council to sell or dispose of public parks or any portion there of if a new public park is designated, which means the sale or disposal of public parks must be approved by the electors?",20,20,Charter Amendment,26,26,Land Use: Voter Approval,23260,6118,29378,0.791749,M,1,Pass,0,201200009,23260,6118,29378,0.791749,1,Pass,20,20,0
201200080,2012,1,2,ALAMEDA,2012-11-06,Albany,2,M,F,"To maintain and provide city services and facilities, including: Fire and Police protection, safety, and emergency response Recreational programs, parks, playgrounds, and open space Senior and youth programs and facilities Community development and environmental preservation
And other general city services and facilities,Shall the City of Albany enact a one-half cent sales tax, with annual independent audits, to end after eight years, with all funds spent only in Albany?",4,4,Sales Tax,112,112,Revenues: Tax Creation/Incr./Contin.,6237,1571,7808,0.798796,M,1,Pass,0,201200010,6237,1571,7808,0.798796,1,Pass,1,110,0
