MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPICNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,Passfail_sum,typerec,topcrec,OTH
201300001,2013,9,1,EL DORADO,2013-05-07,Gilmore Vista Zone of Benefit (CSA),1,M,A,"Shall an annual special tax in an amount of $270.00 on each improved parcel of real property and in an amount of $120.00 on each unimproved parcel of real property be levied within Gilmore Vista Zone of Benefit commencing fiscal year 2013/2014 to be used only for road improvement and maintenance services, to replace the current benefit assessment?",3,Property Tax,62,Transport: Roads,19,12,31,0.613,T,2,FailT,0,201300001,19,12,31,0.6129032258064516,2,FailT,1,60,
201300002,2013,9,1,EL DORADO,2013-05-07,Meadowview Acres Zone of Benefit (CSA),1,M,B,"Shall an annual special tax in an amount of $350.00 on each parcel of real property be levied within Meadowview Acres Zone of Benefit commencing fiscal year 2013/2014 to be used only for road improvement and maintenance services, to replace the current benefit assessment?",3,Property Tax,62,Transport: Roads,63,7,70,0.9,T,1,PassT,0,201300002,63,7,70,0.9,1,PassT,1,60,
201300003,2013,12,1,HUMBOLDT,2013-11-05,"Fieldbrook Glendale, CSD",1,M,K,"Shall a special tax be levied for fire protection, emergency medical services and an expansion of the fire house by the Fieldbrook Glendale Community Services District of $75.00 per assessor's parcel in Zone Two (2) in the District, such tax to continue for ten (10) years? If passed the special tax will supersede and replace the existing assessment.",3,Property Tax,34,Safety: Multiple Emergency Services,296,49,345,0.858,T,1,PassT,0,201300003,296,49,345,0.8579710144927536,1,PassT,1,30,
201300004,2013,15,1,KERN,2013-06-04,"Stallion Springs, CSD",1,M,B,"Shall the Stallion Springs Community Services District levy an annual special tax beginning with fiscal year 2013 of up to $120 per parcel for the sole purpose of funding police protection services, all as provided in district resolution 2013-02?",3,Property Tax,32,Safety: Police,491,307,798,0.615,T,2,FailT,0,201300004,491,307,798,0.6152882205513784,2,FailT,1,30,
201300005,2013,18,1,LASSEN,2013-09-10,Lassen,0,R,1,"Shall Jack Hanson be recalled (removed) from the office of Board of Supervisor, 5th District?",50,Recall,46,Governance: Recall,578,351,929,0.622,M,1,Pass,0,201300005,578,351,929,0.6221743810548978,1,Pass,50,40,
201300006,2013,19,1,LOS ANGELES,2013-06-18,"Pasadena-Glen, CSD",1,M,A,(Advisory) Should the Los Angeles County Board of Supervisors appoint future positions on the Board of Directors for the Pasadena Glen Community Services District in lieu of new Directors being elected by the voters?,30,Advisory,43,Governance: Organization,45,19,64,0.703,M,1,Pass,0,201300006,45,19,64,0.703125,1,Pass,30,40,
201300007,2013,21,1,MARIN,2013-11-05,"Marinwood, CSD",1,M,H,"Shall the appropriations limit established for Marinwood Community Services District pursuant to Article XIII B of the California Constitution be increased over the appropriations limit established by said article for each of the four fiscal years 2013-2014 through 2016-2017 in the amount equal to the revenue received from the special tax for park maintenance services previously approved by the voters in March, 2005?",60,Gann Limit,49,Governance: Budget Processes,1109,322,1431,0.775,M,1,Pass,0,201300007,1109,322,1431,0.7749825296995109,1,Pass,60,40,
201300008,2013,36,1,SAN BERNARDINO,2013-06-18,CSA 68 Zone R-1,1,M,A,"Shall County Service Area 68 (Valley of the Moon), Zone R-1 be authorized to levy an annual special tax in an amount not to exceed $125.00 with a 2.5% cost of living increase to provide road paving and related road services commencing on July 1, 2013, and continuing each year thereafter?",2,Business Tax,62,Transport: Roads,35,24,59,0.593,T,2,FailT,0,201300008,35,24,59,0.5932203389830508,2,FailT,1,60,
201300009,2013,38,1,SAN FRANCISCO,2013-11-05,San Francisco,0,M,A,(INITIATIVE) Shall the City change its Charter to allow payments from the Retiree Health  Care Trust Fund only when the Trust Fund is fully funded or only under specified circumstances?,20,Charter Amendment,49,Governance: Budget Processes,82426,38367,120793,0.682,M,1,Pass,0,201300009,82426,38367,120793,0.6823739786245892,1,Pass,20,40,
201300010,2013,38,1,SAN FRANCISCO,2013-11-05,San Francisco,0,M,B,"(INITIATIVE) Shall the City allow a development project at the 8 Washington Street Site that would include new housing, retail and recreational facilities, and open space, and would increase the legal building height limits on a portion of the Site?",40,Initiative,22,Land Use: Zoning,79738,47257,126995,0.628,M,1,Pass,0,201300010,79738,47257,126995,0.6278829875191937,1,Pass,40,20,
