MeasureID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,TYPEREC,TOPICREC
201400001,2014,29,1,NEVADA,2014-03-04,Beyers Lane CSD,1,Measure,P,Shall the Beyers Lane Community Service District levy an annual special tax upon all taxable real property located within the boundaries of the Beyers Lane Community Service District in an amount not to exceed $350 per parcel per year for the purpose of providing road maintenance and improvements within the boundaries of the Beyers Lane Community Service District?,3,Property Tax,62,Transport: Roads,21,26,47,0.44680851063829785,T,2,FailT,0,201400001,21,26,47,0.44680851063829785,2,FailT,1,60
201400002,2014,25,1,MODOC,2014-04-08,Modoc,0,Recall,4,"Shall Jim Wills be recalled (removed) from the office of County Supervisor, District 4?",50,Recall,46,Governance: Recall,251,371,622,0.40353697749196143,M,2,Fail,0,201400002,251,371,622,0.40353697749196143,2,Fail,50,40
201400003,2014,9,1,EL DORADO,2014-05-06,CSA #9,1,Measure,B,"Shall an annual special tax in an amount of $365.00 on each parcel of real property be levied within Fernwood Cothrin Ranch Road Zone of Benefit commencing fiscal year 2014/2015 to be used only for road improvement and maintenance services, to replace the current special tax?”",3,Property Tax,62,Transport: Roads,124,136,260,0.47692307692307695,T,2,FailT,0,201400003,124,136,260,0.47692307692307695,2,FailT,1,60
201400004,2014,1,1,ALAMEDA,2014-06-03,Alameda,0,Measure,AA,"Without increasing the existing half-cent sales and use tax for essential health services, to provide trauma and emergency medical services and primary, preventative healthcare for local residents including indigent, low-income and uninsured children, families and seniors, to prevent closure of county clinics and hospitals and to recruit/retain highly qualified nurses and healthcare professionals, shall Alameda County extend the essential healthcare services measure until June 2034 with annual fiscal oversight/review?",70,Ordinance,112,Revenues: Tax Creation/Incr./Contin.,148001,49307,197308,0.750101364364344,T,1,PassT,0,201400004,148001,49307,197308,0.750101364364344,1,PassT,70,110
201400005,2014,9,1,EL DORADO,2014-06-03,CSA #10,1,Measure,G,"To replace the previous voter-approved expiring library special tax, shall El Dorado County levy the amount of $20.00 annually per parcel (with annual inflation adjustment not to exceed 3%) within County Service Area No. 10 Georgetown Divide Zone of Benefit, Zone G, for a period of twelve (12) years commencing in fiscal year 2015/16, to preserve continued funding for library services, hours, and operations and help avoid library closure?",3,Property Tax,71,Facilities: Libraries,1868,548,2416,0.7731788079470199,T,1,PassT,0,201400005,1868,548,2416,0.7731788079470199,1,PassT,1,70
201400006,2014,9,1,EL DORADO,2014-06-03,CSA #10,1,Measure,L,"To replace the previous voter-approved expiring library special tax, shall El Dorado County levy the amount of $20.00 annually per parcel (with annual inflation adjustment not to exceed 3%) within County Service Area No. 10 South Lake Tahoe Zone of Benefit, Zone F, for a period of twelve (12) years commencing in fiscal year 2015/16, to preserve continued funding for library services, hours, and operations and help avoid library closure?",3,Property Tax,71,Facilities: Libraries,3548,869,4417,0.8032601313108445,T,1,PassT,0,201400006,3548,869,4417,0.8032601313108445,1,PassT,1,70
201400007,2014,8,1,DEL NORTE,2014-06-03,Del Norte,0,Measure,A,(ADVISORY) Should the Del Norte County Board of Supervisors adopt a Declaration of Support for the proposed separation from the State of California and formation of a new state?,30,Advisory,44,Governance: Incorporation/Formation/Annexation,2424,3367,5791,0.4185805560352271,M,2,Fail,0,201400007,2424,3367,5791,0.4185805560352271,2,Fail,30,40
201400008,2014,9,1,EL DORADO,2014-06-03,Fallen Leaf Lake CSD,1,Measure,A,"To continue current level of emergency medical and fire protection services, shall existing Fire Special Tax, set annually by the CSD Board, not to exceed $660 per unit, subject to maximum inflation adjustment of 1.5% per year, established as: Unimproved 0.5 unit; improved 1.0 unit; Stanford Sierra Camp 40 units: and shall Annual Appropriations Limit be extended four years to allow for expenditure of these and any subvention funds received from El Dorado County.",3,Property Tax,34,Safety: Multiple Emergency Services,28,9,37,0.7567567567567568,T,1,PassT,0,201400008,28,9,37,0.7567567567567568,1,PassT,1,30
201400009,2014,10,1,FRESNO,2014-06-03,Fresno,0,Measure,A,"Should the Fresno County Vehicle Abatement Program and vehicle registration fees (one dollar per vehicle and an additional two dollars for certain commercial vehicles payable upon registration of a vehicle) be renewed for a ten‐year term beginning July 1, 2014, for the abatement and removal of abandoned, wrecked, dismantled, or inoperative vehicles?",7,Miscellaneous Tax,64,Transport: Agencies,51459,50720,102179,0.5036162029379814,T,2,FailT,0,201400009,51459,50720,102179,0.5036162029379814,2,FailT,1,60
201400010,2014,17,1,LAKE,2014-06-03,Lake,0,Measure,L,"Shall Article VI be added to Chapter 18 of the Lake County Code imposing a one-half of one per cent (0.50%) transaction and use tax (sales tax) to implement a Healthy Lake Tax for the County of Lake for a maximum period of ten (10) years with all revenues locked-in exclusively to combat aquatic weeds, algae, invasive mussels, and fund wet land restoration and water quality projects with an expenditure plan with citizen over sight for revenues generated?”",4,Sales Tax,54,Environment: Regulation/Mitigation,9873,5259,15132,0.6524583663758922,T,2,FailT,0,201400010,9873,5259,15132,0.6524583663758922,2,FailT,1,50
