MeasID_First,MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
201500001,201500001,2015,32,1,PLUMAS,2015-01-06,Whitehawk Ranch CSD,1,M,A,"Shall the Whitehawk Ranch Community Service District (CSD) adopt a tax increase of $200.00 per parcel, commencing 2015, to provide for the maintenance, repairs, operations and upgrades including but not limited to the CSD's properties and services including; swimming pool, tennis courts, community center, gazebo, exercise/maintenance buildings, bocce ball pond area, equestrian center, related parking, burn area, road leading to burn area, RV storage area and approximately one hundred acres of hiking trails and open space requiring defensible space maintenance?",3,Property Tax,78,Facilities: Parks & Recreation,66,16,82,0.8048780487804879,T,1,PassT,0,201500001,66,16,82,0.8048780487804879,1,PassT,1,70
201500002,201500002,2015,32,1,PLUMAS,2015-03-24,Indian Valley CSD,1,R,1,Shall Michael Yost be recalled (removed) from office of Director of the Indian Valley CSD?,50,Recall,46,Governance: Recall,402,230,632,0.6360759493670886,M,1,Pass,0,201500002,402,230,632,0.6360759493670886,1,Pass,50,40
201500003,201500003,2015,32,1,PLUMAS,2015-03-24,Indian Valley CSD,1,R,2,Shall Jane Braxton Little be recaleld (removed) from office of Director of the Indian Valley CSD?,50,Recall,46,Governance: Recall,404,226,630,0.6412698412698413,M,1,Pass,0,201500003,404,226,630,0.6412698412698413,1,Pass,50,40
201500004,201500004,2015,32,1,PLUMAS,2015-03-24,Indian Valley CSD,1,R,3,Shall Bradley Smith be recalled (removed) from the office of Director of the Indian Valley CSD?,50,Recall,46,Governance: Recall,395,240,635,0.6220472440944882,M,1,Pass,0,201500004,395,240,635,0.6220472440944882,1,Pass,50,40
201500005,201500005,2015,9,1,EL DORADO,2015-03-31,Audubon Hills CSD,1,R,1,Shall James McCarthy be recalled (removed) from the office of Director of the Audubon Hills CSD?,50,Recall,46,Governance: Recall,120,52,172,0.6976744186046512,M,1,Pass,0,201500005,120,52,172,0.6976744186046512,1,Pass,50,40
201500006,201500006,2015,9,1,EL DORADO,2015-03-31,Audubon Hills CSD,1,R,2,Shall Robert Verzello be recalled (removed) from the office of Director of the Audubon Hills CSD?,50,Recall,46,Governance: Recall,118,54,172,0.686046511627907,M,1,Pass,0,201500006,118,54,172,0.686046511627907,1,Pass,50,40
201500007,201500007,2015,40,1,SAN LUIS OBISPO,2015-05-05,CSA # 21,1,M,A-15,"Shall the County of San Luis Obispo, commencing Fiscal Year 2015/2016, and annually thereafter, impose, levy and collect a special tax on real property within Road Improvement Zone – Leonard Place of County Service Area No. 21, to provide road improvements within said Zone, with the special tax to be at an initial rate not exceeding $1,815 per parcel having a separate County Assessor’s Parcel Number and increasing not more than two percent per year thereafter?",3,Property Tax,62,Transport: Roads,8,4,12,0.6666666666666666,T,1,PassT,0,201500007,8,4,12,0.6666666666666666,1,PassT,1,60
201500008,201500008,2015,9,1,EL DORADO,2015-05-05,CSA # 9,1,M,A,"Shall an annual special tax in an amount of $250.00 on each parcel of real property be levied within Many Oaks Lane Zone of Benefit commencing fiscal year 2015/2016, to be used only for road improvement and maintenance services and drainage facility maintenance services, to replace the current benefit assessment?",3,Property Tax,62,Transport: Roads,62,34,96,0.6458333333333334,T,2,FailT,0,201500008,62,34,96,0.6458333333333334,2,FailT,1,60
201500009,201500009,2015,18,1,LASSEN,2015-05-05,Southern Cascades CSD,1,M,B,"Shall the order adopted on January 26, 2015 by the Local Agency Formation Commission of the County of Lassen ordering the formation of a District in the territory described, known as the Southern Cascades Community Services District, be approved?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,233,94,327,0.7125382262996942,T,1,PassT,1,201500009,421,198,619,0.6801292407108239,1,PassT,70,40
201500009,201500010,2015,25,1,MODOC,2015-05-05,Southern Cascades CSD,1,M,B,"Shall the order adopted on January 26, 2015 by the Local Agency Formation Commission of the County of Lassen ordering the formation of a District in the territory described, known as the Southern Cascades Community Services District, be approved?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,188,104,292,0.6438356164383562,T,2,FailT,1,201500009,421,198,619,0.6801292407108239,1,PassT,70,40
201500011,201500011,2015,18,1,LASSEN,2015-05-05,Southern Cascades CSD,1,M,C,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be authorized only if the Southern Cascades Community Services District is formed and is collected in the same manner as taxes on real property, commencing in the fiscal year after which the voters have authorized the special tax, with the revenue to be used for local ambulance, emergency medical response and training and any lawful purpose of the Southern Cascades Community Services District?",3,Property Tax,36,Safety: Emergency Medical/Paramedic,228,98,326,0.6993865030674846,T,1,PassT,1,201500010,410,210,620,0.6612903225806451,2,FailT,1,30
201500011,201500012,2015,25,1,MODOC,2015-05-05,Southern Cascades CSD,1,M,C,"Shall a measure be adopted to assess a special tax of $65 per annum per parcel regardless of the size for up to two parcels owned by each unique landowner regardless of which county the parcels are located, the special tax will be authorized only if the Southern Cascades Community Services District is formed and is collected in the same manner as taxes on real property, commencing in the fiscal year after which the voters have authorized the special tax, with the revenue to be used for local ambulance, emergency medical response and training and any lawful purpose of the Southern Cascades Community Services District?",3,Property Tax,36,Safety: Emergency Medical/Paramedic,182,112,294,0.6190476190476191,T,2,FailT,1,201500010,410,210,620,0.6612903225806451,2,FailT,1,30
201500013,201500013,2015,56,1,VENTURA,2015-05-05,Ventura,0,M,N,"Shall the resolution adopted on November 19, 2014, by the Local Agency Formation Commission of Ventura County ordering the formation of a waterworks district in the territory described, known as Ventura County Waterworks District No. 38, be approved, subject to the terms and conditions specified in the resolution?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,216,49,265,0.8150943396226416,M,1,Pass,0,201500011,216,49,265,0.8150943396226416,1,Pass,70,40
201500014,201500014,2015,49,1,SONOMA,2015-06-02,Sonoma,0,M,A,"Shall the people of Sonoma County enact a one-quarter percent sales tax for general governmental purposes such as public safety, local roads and pothole repair, senior, student and veterans transit and other essential services within the nine cities and unincorporated area for 5 years with annual audits made available to the public showing how all revenue was spent the previous year?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,32741,52630,85371,0.3835143081374237,T,2,FailT,0,201500012,32741,52630,85371,0.3835143081374237,2,FailT,1,110
201500015,201500015,2015,41,1,SAN MATEO,2015-08-25,San Mateo,0,M,Q,"Shall the Merimont territory consisting of seventy (70) parcels located along Merimont Circle, Marbella Lane, and Alden Court in San Bruno, California, be transferred from the South San Francisco Unified School District to the San Bruno Park School District and San Mateo Union High School District, such that by operation of law, persons residing within that territory would become residents of the San Bruno Park School District and San Mateo Union High School District, and be subject to those districts’ parcel taxes, effective July 1, 2016?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,60,0,60,1.0,M,1,Pass,0,201500013,60,0,60,1.0,1,Pass,70,40
