MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,Ballotquestion,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
201700001,2017,5,1,CALAVERAS,2017-05-02,Copper Cove Rocky Road CSD,1,M,D,"To maintain Copper Cove Rocky Road Community Service District roads shall a new tax, replacing the existing tax of $350 per residential lot, be adopted without expiration, at $450 per residential lot?",3,Property Tax,112,Revenues: Tax Creation/Incr./Contin.,87,151,238,0.36554621848739494,T,2,FailT,0,201700001,87,151,238,0.36554621848739494,2,FailT,1,110
201700002,2017,5,1,CALAVERAS,2017-05-02,Saddle Creed CSD,1,M,A,"To maintain Saddle Creek Community Services District owned facilities and easements including sidewalks, storm drains, landscaping, lighting, parks, security, weed and mosquito abatement, road improvement and maintenance, reserves, and administration, shall a new tax, providing $1.2 million annually and replacing the existing tax, be adopted without expiration at $1,703 per residential lot; $720 per acre for large lot undeveloped property; $640 per acre for sports club property; and $63,860 for the golf course property, including an annual CPI adjustment?",3,Property Tax,76,Facilities: Sports Facilities,191,85,276,0.6920289855072463,T,1,PassT,0,201700002,191,85,276,0.6920289855072463,1,PassT,1,70
201700003,2017,6,1,COLUSA,2017-11-07,Cortina CSD,1,M,A,"Upon adoption by the majority of registered voters in the Cortina Community Services District, shall the board of Directors of the Cortina Community Services District (currently the County Board of Supervisors) be changed to a Board of Directors elected at large by registered voters of the district with such directors taking office if the measure is passed by a majority vote?",70,Ordinance,43,Governance: Organization,42,10,52,0.8076923076923077,M,1,Pass,0,201700003,42,10,52,0.8076923076923077,1,Pass,70,40
201700004,2017,9,1,EL DORADO,2017-06-06,El Dorado CSD,1,M,A,"Shall the Board of Directors of the Marble Mountain Community Services District be authorized to annually assess each parcel located within the District which is not included within the boundaries of Road Improvement Zone “1”, (along Marble Ridge Road and Diablo Trail), a special tax in an amount up to, but not exceeding the amount of $400 per parcel to be expended for the maintenance and improvement of roadways located in those areas of the District lying outside of Road Improvement Zone “1”?",3,Property Tax,62,Transport: Roads,18,10,28,0.6428571428571429,T,2,FailT,0,201700004,18,10,28,0.6428571428571429,2,FailT,1,60
201700005,2017,9,1,EL DORADO,2017-11-07,Cosumnes River CSD,1,M,B,"The special tax to fund maintaining, upgrading and improving district roads of the Cosumnes River Community Services District (CRCSD) was set at $150.00 in 1991. Shall the CRCSD increase this tax by $150.00 such that the annual tax level is reset to $300.00 per parcel, to remain at that level unless and until there are further voter approved changes?",3,Property Tax,62,Transport: Roads,67,48,115,0.5826086956521739,T,2,FailT,0,201700005,67,48,115,0.5826086956521739,2,FailT,1,60
201700006,2017,19,1,LOS ANGELES,2017-03-07,Los Angeles,0,M,H,"To fund mental health, substance abuse treatment, health care, education, job training, rental subsidies, emergency and affordable housing, transportation, outreach, prevention, and supportive services for homeless children, families, foster youth, veterans, battered women, seniors, disabled individuals, and other homeless adults; shall voters authorize Ordinance No. 2017-0001 to levy a ¼ cent sales tax for ten years, with independent annual audits and citizens’ oversight?",4,Sales Tax,106,General Services: Social/Welfare,585905,259098,845003,0.6933762365340714,T,1,PassT,0,201700006,585905,259098,845003,0.6933762365340714,1,PassT,1,100
201700007,2017,20,1,MADERA,2017-03-07,Madera,0,M,L,"Shall Madera County enact a one percent public safety sales tax in the unincorporated area of the County to: Improve firefighting services throughout the county; Increase the number of paid and volunteer firefighters; Improve instructional and training services for volunteer firefighters; and, Increase the number of sheriff deputies; with annual public audits and citizen oversight for a period of twenty years and all funds controlled locally pursuant to Ordinance No. 683?",4,Sales Tax,33,Safety: Fire,5268,6526,11794,0.4466677971850093,T,2,FailT,0,201700007,5268,6526,11794,0.4466677971850093,2,FailT,1,30
201700008,2017,21,1,MARIN,2017-05-02,CSA #16,1,M,A,"Shall the special tax for maintenance and improvements to landscaped medians levied annually upon each improved parcel located within County Service Area #16 (Greenbrae), be increased from $150 per year to $300 per year per improved parcel within that area commencing with the 2017-2018 fiscal year?",3,Property Tax,105,General Services: Maintenance,495,526,1021,0.48481880509304603,T,2,FailT,0,201700008,495,526,1021,0.48481880509304603,2,FailT,1,100
201700009,2017,23,1,MENDOCINO,2017-11-07,Mendocino,0,M,B,"To provide funding for mental health care and facilities in Mendocino County to diagnose and treat mental illness and addiction, shall a transactions and use tax of one-half cent be enacted for five years, and thereafter reduced to one-eighth cent, with annual audits and a citizen's oversight committee to ensure funds are properly spent, and a requirement that funds cannot be taken by the State and spent for other purposes?",4,Sales Tax,106,General Services: Social/Welfare,15775,3111,18886,0.8352748067351478,T,1,PassT,0,201700009,15775,3111,18886,0.8352748067351478,1,PassT,1,100
201700010,2017,27,1,MONTEREY,2017-08-29,East Garrison CSD,1,M,D,Shall the East Garrison Community Services District have a directly elected Board of Directors?,70,Ordinance,43,Governance: Organization,13,288,301,0.04318936877076412,M,2,Fail,0,201700010,13,288,301,0.04318936877076412,2,Fail,70,40
