MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,TYPEREC,TOPICREC
201800001,2018,1,1,ALAMEDA,2018-06-05,Alameda,0,M,A,"To expand access to childcare and preschool for low- and middle-income families; help homeless and at-risk children, including help preventing child abuse and neglect; attract and retain quality childcare workers; and add spaces for childcare at locations throughout the county, shall the County of Alameda enact a 30-year ½% sales tax providing approximately 140 million dollars annually with citizens’ oversight, public disclosure of spending, and mandatory annual audits?",4,Sales Tax,106,General Services: Social/Welfare,214955,109726,324681,0.6620498273690176,T,2.0,FailT,0,201800001,214955,109726,324681,0.6620498273690176,2.0,FailT,1,100
201800002,2018,1,1,ALAMEDA,2018-06-05,Bay Area,0,M,RM3,"Shall voters authorize a plan to reduce auto and truck traffic, relieve crowding on BART, unclog freeway bottlenecks, and improve bus, ferry, BART and commuter rail service as specified in the plan in this voter pamphlet, with a $1 toll increase effective in 2019, a $1 increase in 2022, and a $1 increase in 2025, on all Bay Area toll bridges except the Golden Gate Bridge, with independent oversight of all funds?",7,Miscellaneous Tax,60,Transport,173275,148245,321520,0.5389244837024135,M,1.0,Pass,1,201800002,919122,693432,1612554,0.5699790518643096,1.0,Pass,1,60
201800003,2018,5,1,CALAVERAS,2018-11-06,Calaveras,0,M,G,"Shall the measure to maintain and improve essential Calaveras County services including emergency fire district response and protection, Sheriff’s patrols helping prevent thefts/burglaries, road/pothole repairs, attracting/retaining businesses and other County services and infrastructure by increasing the transient occupancy tax (paid only by hotel/motel/short-term rental guests) from 6% to 12%, providing approximately $600,000 annually until ended by voters, with audits, and all funds used locally, be adopted?",9,Transient Occupancy Tax,100,General Services,13203,7723,20926,0.6309375896014527,M,1.0,Pass,0,201800003,13203,7723,20926,0.6309375896014527,1.0,Pass,1,100
201800004,2018,7,1,CONTRA COSTA,2018-03-06,Diablo CSD,1,M,B,"To provide for road, bridge, culvert and trail maintenance and improvements, and security/police protection services for the community, shall the Diablo Community Services District adopt an ordinance to levy an annual special tax upon taxable properties within the District at a rate of $662.26 per improved parcel, $128.06 per unimproved parcel, and $23,444.68 for Diablo Country Club parcels, including an annual inflation adjustment, providing $285,000/year initially, and replace the existing fees?",3,Property Tax,62,Transport: Roads,191,91,282,0.6773049645390071,T,1.0,PassT,0,201800004,191,91,282,0.6773049645390071,1.0,PassT,1,60
201800005,2018,7,1,CONTRA COSTA,2018-06-05,Bay Area,0,M,RM3,"Shall voters authorize a plan to reduce auto and truck traffic, relieve crowding on BART, unclog freeway bottlenecks, and improve bus, ferry, BART and commuter rail service as specified in the plan in this voter pamphlet, with a $1 toll increase effective in 2019, a $1 increase in 2022, and a $1 increase in 2025, on all Bay Area toll bridges except the Golden Gate Bridge, with independent oversight of all funds?",7,Miscellaneous Tax,60,Transport,101070,125851,226921,0.4453972968566153,M,2.0,Fail,1,201800002,919122,693432,1612554,0.5699790518643096,1.0,Pass,1,60
201800006,2018,7,1,CONTRA COSTA,2018-06-05,CSA P-5,1,M,S,"Shall County of Contra Costa Ordinance No. 2018-08 be approved to authorize an increase in the special tax on property located in County Service Area P-5 from a maximum of $732 per parcel for parcels used for recreational purposes, and a maximum of $330 per parcel for all other parcels, to an initial amount of $812 per parcel for all parcels, with annual CPI adjustments, to provide additional funding for police protection services?",3,Property Tax,32,Safety: Police,261,350,611,0.42716857610474634,T,2.0,FailT,0,201800005,261,350,611,0.42716857610474634,2.0,FailT,1,30
201800007,2018,7,1,CONTRA COSTA,2018-11-06,Contra Costa,0,M,R,"Shall the County tax cannabis (marijuana) businesses in the unincorporated area at annual rates up to $7.00 per canopy square foot for cultivation (adjustable for inflation) and up to 4% of gross receipts for all other cannabis businesses including retailers, to generate an estimated $1.7 to $4.4 million annually to fund general County expenses such as public safety, health services, and environmental protection, and levied until repealed by the voters or Board of Supervisors?",2,Business Tax,100,General Services,289223,115599,404822,0.7144448671267866,M,1.0,Pass,0,201800006,289223,115599,404822,0.7144448671267866,1.0,Pass,1,100
201800008,2018,7,1,CONTRA COSTA,2018-11-06,Kensington CSD,1,M,G,"Shall the appropriations limit of the Kensington Police Protection and Community Services District for Fiscal Year 2018-2019 be established at $4,375,000.00 and the limit for Fiscal Year 2018-2019 (i.e., $4,375,000.00) be used to determine the limits for Fiscal Years 2019-2020 through 2022-2023?",60,Gann Limit,40,Governance,2395,500,2895,0.8272884283246977,M,1.0,Pass,0,201800007,2395,500,2895,0.8272884283246977,1.0,Pass,60,40
201800009,2018,8,1,DEL NORTE,2018-06-05,Del Norte,0,M,A,"Shall Ordinance No.2017-003 be enacted? (The Ordinance limits the number of terms a person may serve on the Board of Supervisors to three total terms. It would be of no consequence whether the terms are consecutive or not. A partial term in excess of two years shall be deemed equal to one full term. Term limits shall only apply to new supervisors who commence a term of office after January 1, 2019.)",70,Ordinance,45,Governance: Political Reform/Term Limits,1038,668,1706,0.608440797186401,M,1.0,Pass,0,201800008,1038,668,1706,0.608440797186401,1.0,Pass,70,40
201800010,2018,8,1,DEL NORTE,2018-11-06,Del Norte,0,M,B,"Shall Del Norte County establish taxes upon commercial cannabis activity in the following amounts: 2-6 percent of the gross receipts of a non-medicinal cannabis retailer, 1-3 percent of the gross receipts of a cannabis manufacturer, $1 per square foot of outdoor cultivation area and $3 per square of indoor cultivation area? Within the specified ranges, the Board of Supervisors shall set the spectic rate by resolution. AlI taxes imposed by this ordinance are general taxes, which may be spent for unrestricted general revenue purposes",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,5014,2915,7929,0.6323622146550637,M,1.0,Pass,0,201800009,5014,2915,7929,0.6323622146550637,1.0,Pass,1,110
201800011,2018,9,1,EL DORADO,2018-03-06,CSA #9,1,M,B,"Shall an annual special tax in the an amount of $450.00 on each parcel of real property be levied within Pineoakio Road Zone of Benefit commencing fiscal year 2018/2019 to be used only for road improvement and maintenance services, to replace the current benefit assessment?",3,Property Tax,62,Transport: Roads,28,7,35,0.8,T,1.0,PassT,0,201800010,28,7,35,0.8,1.0,PassT,1,60
201800012,2018,9,1,EL DORADO,2018-03-06,CSA #9,1,M,C,"Shall an annual special tax in an amount of $200.00 on each parcel of real property be levied within Pilot View Drive Road Zone of Benefit commencing fiscal year 2018/2018, with annual adjustments thereafter tied to the California Consumer Price Index for Urban Wage Earners and Clerical Workers, to be used only for road improvement and maintenance services, to replace the current benefit assessment?",3,Property Tax,62,Transport: Roads,42,11,53,0.7924528301886793,T,1.0,PassT,0,201800011,42,11,53,0.7924528301886793,1.0,PassT,1,60
201800013,2018,9,1,EL DORADO,2018-06-05,Fallen Leaf Lake CSD,1,M,A,"To fund emergency medical and fire protection services, shall the measure renewing the existing Fire Special Tax, voter-approved on July 27, 2014, and set annually by the CSD Board, not to exceed $660.00 per unit, subject to maximum inflation adjustment of 1.5% per year, established as: Unimproved 0.5 unit (currently$306.48); improved 1.0 unit (currently $612.98); SSA Sierra Programs LLC (40 units, annual revenue raised of $196, 459.94, for the next four years be adopted?",3,Property Tax,34,Safety: Multiple Emergency Services,24,9,33,0.7272727272727273,T,1.0,PassT,0,201800012,24,9,33,0.7272727272727273,1.0,PassT,1,30
201800014,2018,9,1,EL DORADO,2018-06-05,Holiday Lake CSD,1,M,G,"Shall the measure to rescind Resolution 88-01 approved by the board of directors on October 26, 1988 and Resolution 2004-01 approved by the board of directors on Jan 20, 2014, which currently levy $75 each per parcel annually, consolidate the two $75 taxes and increase by $150 to thereby levy a new total of $300 per parcel per year until rescinded totaling $18,600 annually be adopted?",3,Property Tax,112,Revenues: Tax Creation/Incr./Contin.,73,12,85,0.8588235294117647,T,1.0,PassT,0,201800013,73,12,85,0.8588235294117647,1.0,PassT,1,110
201800015,2018,9,1,EL DORADO,2018-11-06,Cameron Estates CSD,1,M,H,"Shall the Measure be adopted to allow the Cameron Estates CSD to levy an increase of $345 to the special tax, over and above the current special tax rate of $250 per parcel per year, for a total tax rate not to exceed $595 per parcel per year to remain in effect until modified or repealed.  If approved, $173,740 will be raised annually for the purpose of crucial road revitalization and improvements?",3,Property Tax,62,Transport: Roads,362,117,479,0.755741127348643,T,1.0,PassT,0,201800014,362,117,479,0.755741127348643,1.0,PassT,1,60
