MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
202000025,2020,19,1,LOS ANGELES,2020-03-03,SFID No. 2016-1,0,Measure,SP,"To provide students additional opportunities for career and academic success at local schools, including Hawthorne, Lawndale, and Leuzinger High Schools, and to optimize athletic facilities for joint use with local communities, shall School Facilities Improvement District No. 2016-1 of the Local Public Schools Funding Authority issue $125 million in bonds, at legal rates, averaging $8.5 million annually while bonds are outstanding, at 3¢ per $100 assessed value, to upgrade and construct classrooms, athletic facilities and fields, with mandatory audits and independent citizens oversight, and all money for local schools?",11,GO Bond,11,Education: Bonds,12612,5620,18232,0.6917507678806494,F,1,PassF,0,202000025,12612,5620,18232,0.6917507678806494,1,PassF,10,10
202000028,2020,21,1,MARIN,2020-03-03,Marin,0,Measure,D,"(INITIATIVE) Shall the measure amending the San Geronimo Valley Community Plan and the Marin County Development Code to require voter approval for any change in the primary golf course use of the San Geronimo Valley Golf Course property, and requiring that the County prepare economic and environmental analyses of the proposed change, be adopted?",40,Initiative,26,Land Use: Voter Approval,42271,65448,107719,0.392419164678469,M,2,Fail,0,202000028,42271,65448,107719,0.392419164678469,2,Fail,40,20
202000040,2020,35,1,SAN BENITO,2020-03-03,San Benito,0,Measure,K,"Shall Ordinance No. 991, An Ordinance of the Board of Supervisors of the County of San Benito Amending the San Benito County Code to add text relating to the “Regional Commercial (C-3) District” be adopted?",70,Ordinance,22,Land Use: Zoning,6802,10113,16915,0.4021282885013302,M,2,Fail,0,202000040,6802,10113,16915,0.4021282885013302,2,Fail,70,20
202000041,2020,35,1,SAN BENITO,2020-11-03,San Benito,0,Measure,N,"(INITIATIVE) Shall an initiative enacting the Strada Verde Specific Plan, and making County General Plan and Zoning Code Amendments for approximately 2,777 acres of agricultural land in northwest San Benito County, allowing various uses (including Research/Development, Automotive Testing/Tracks, Distribution, Offices, Business/Professional Services Commercial, Light Industrial, Hospitality, Retail, and Public/Private Services) and requiring the creation of a 209.5 acre Pajaro River Park and preservation of 561.7 acres exclusively for agriculture be adopted?",40,Initiative,22,Land Use: Zoning,11372,16708,28080,0.404985754985755,M,2,Fail,0,202000041,11372,16708,28080,0.404985754985755,2,Fail,40,20
202000046,2020,37,1,SAN DIEGO,2020-03-03,San Diego,0,Measure,A,(INITIATIVE) Shall this Initiative be adopted for the purpose of amending the San Diego County General Plan to require voter approval for General Plan amendments that increase residential density for property designated by the General Plan as Semi-Rural or Rural?,40,Initiative,26,Land Use: Voter Approval,407534,423630,831164,0.4903171937186885,M,2,Fail,0,202000045,407534,423630,831164,0.4903171937186885,2,Fail,40,20
202000047,2020,37,1,SAN DIEGO,2020-03-03,San Diego,0,Measure,B,"Shall the San Diego County General Plan Amendment PDS2015-GPA-15-001 approved by the Board of Supervisors for the development of the Newland Sierra Project, be approved? The existing General Plan allows 99 homes and up to 2,000,000 square feet of commercial with open space. General Plan Amendment PDS2015-GPA-15-001 would authorize up to 2,199 homes and 1,777,684 square feet of commercial. The approved Newland Sierra Project includes a planned community of 2,135 homes, a school site, 81,000 square feet of retail, 36 acres of parks and 1,209 acres of open space.",70,Ordinance,22,Land Use: Zoning,349822,484663,834485,0.41920705584881696,M,2,Fail,0,202000046,349822,484663,834485,0.41920705584881696,2,Fail,70,20
202000060,2020,38,1,SAN FRANCISCO,2020-11-03,San Francisco,0,Measure,H,"Shall the City change the Planning Code for neighborhood commercial districts to increase permissible uses, eliminate public notification processes for new permitted uses, and require an expedited process for permits?",70,Ordinance,22,Land Use: Zoning,247428,159026,406454,0.608747853385623,M,1,Pass,0,202000059,247428,159026,406454,0.608747853385623,1,Pass,70,20
202000087,2020,56,1,VENTURA,2020-11-03,Ventura,0,Measure,O,"Shall an ordinance to allow the commercial cultivation, processing, distribution and sale of cannabis within the unincorporated area of Ventura County, limited to 500 acres for indoor general cannabis cultivation and 100 acres for indoor nursery cultivation, with sales allowed between licensed distributors but not to the general public, and to impose a tax of four percent of gross receipts on general cannabis cultivation and one percent of gross receipts on cannabis nursery cultivation, be adopted?",70,Ordinance,22,Land Use: Zoning,227964,170437,398401,0.5721973589423721,M,1,Pass,0,202000086,227964,170437,398401,0.5721973589423721,1,Pass,70,20
202000005,2020,1,1,ALAMEDA,2020-03-03,Alameda,0,Measure,D,"Shall the measure authorizing the Alameda County Fire Department to issue $90,000,000 in general obligation bonds to repair / replace outdated stations, thereby maintaining services in unincorporated communities (including medical emergency lifesaving services, fast 911 response, wildfire protection and disaster response) in an estimated levy of 1.6 cents per $100 assessed value, raising on average $5,200,000 annually for approximately 31 years, with oversight and audits, and no funds for salaries, benefits or pensions be adopted?",11,GO Bond,33,Safety: Fire,21188,10735,31923,0.6637220812580271,T,2,FailT,0,202000005,21188,10735,31923,0.6637220812580271,2,FailT,10,30
202000008,2020,1,1,ALAMEDA,2020-11-03,Alameda,0,Measure,X,"Shall the measure authorizing the Alameda County Fire Department to issue $90,000,000 in general obligation bonds to repair / replace outdated stations, thereby maintaining services in unincorporated communities (including medical emergency lifesaving services, fast 911 response, wildfire protection and disaster response) in an estimated levy of 1.6 cents per $100 assessed value, raising on average $5,200,000 annually for approximately 31 years, with oversight and audits, and no funds for salaries, benefits or pensions be adopted?",11,GO Bond,33,Safety: Fire,38796,19300,58096,0.6677912420820711,T,1,PassT,0,202000008,38796,19300,58096,0.6677912420820711,1,PassT,10,30
