MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTOPIC,RECTYPENAME,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
202100001,2021,5,1,CALAVERAS,2021-05-04,Appaloosa Road CSD,1,Measure,D,"Shall the measure, specifying that the Special Tax increase of $100/parcel, adopted by voters on May 7, 2019 in the Appaloosa Zone of the ARCSD, apply, without expiration, to the 20 parcels on Pinto and Morgan roads which are currently exempt from the tax, raising an additional $2,000 annually for road maintenance and thus increasing the District's appropriation limit commensurate with the revenue generated by this measure, be adopted?",3,62,Property Tax,Transport: Roads,57,8,65,0.8769230769230769,T,1,PassT,0,202100001,57,8,65,0.8769230769230769,1,PassT,1,60
202100002,2021,7,1,CONTRA COSTA,2021-05-04,"County Service Area P-2, Zone B",1,Measure,K,"Shall County of Contra Costa Ordinance No. 2021-01 be approved to increase the existing parcel tax on County Service Area P-2 Zone B to annual maximums of $67 per parcel for residential property and $200 per parcel for commercial/industrial/institutional property, to provide additional funding for police protection services?",3,32,Property Tax,Safety: Police,2539,550,3089,0.821948850760764,T,1,PassT,0,202100002,2539,550,3089,0.821948850760764,1,PassT,1,30
202100003,2021,9,1,EL DORADO,2021-11-02,County Service Area 9,1,Measure,B,"Shall an annual special tax in an amount of $550.00 on each parcel of land within the Blanchard Road Zone of Benefit commencing fiscal year 2022/2023 and continuing for an unlimited duration, to be used only for road improvements and maintenance services and generating annual revenue of $6,600, be adopted to replace the current benefit  assessment of $280.00?",3,62,Property Tax,Transport: Roads,17,3,20,0.85,T,1,PassT,0,202100003,17,3,20,0.85,1,PassT,1,60
202100004,2021,9,1,EL DORADO,2021-11-02,Marble Mountain CSD,0,Measure,E,"Shall the measure authorizing the Board of Directors of the Marble Mountain Community  Services District (MMCSD) to annually assess each parcel located within the MMCSD  along Marble Ridge Road and Diablo Trail, but not within Road Improvement Zone ""1"", a  special tax in an amount up to, but not exceeding the amount of $400 annually until  rescinded, per parcel, to be expended for the maintenance and improvement of Marble Ridge Road and Diablo Trail be adopted? The maximum revenue to MMCSD would be $10,000 per year.",3,62,Property Tax,Transport: Roads,13,15,28,0.4642857142857143,T,2,FailT,0,202100004,13,15,28,0.4642857142857143,2,FailT,1,60
202100005,2021,21,1,MARIN,2021-03-02,Marin,0,Measure,B,"Shall Ridgewood Avenue Permanent Road Division impose an immediate special tax on parcels within the Division of $1,620 per parcel per year for 10 years beginning Fiscal Year 2021-2022 and thereafter assess on all parcels $200 per year for ongoing maintenance, with a provision for an annual increase effective July 1 in accordance with the change in the State of California Consumer Price Index for All Urban Consumers for the previous calendar year?",3,100,Property Tax,General Services,36,8,44,0.8181818181818182,T,1,PassT,0,202100005,36,8,44,0.8181818181818182,1,PassT,1,100
202100006,2021,31,1,PLACER,2021-11-02,Northstar CSD,1,Measure,U,"To improve local wildfire prevention by removing dry brush, dead trees, and fire hazards, improving evacuation routes, adding firebreaks to prevent the spread of wildfire, and providing homeowners with easy, inexpensive green waste disposal options, shall the Northstar Community Services District measure levying up to $219 per year for 10 years be adopted, providing $450,000 annually in locally-controlled funding to the Northstar Fire Department for fire protection, with annual adjustments, exemptions for low-income residents, and citizen oversight?",7,33,Miscellaneous Tax,Safety: Fire,109,16,125,0.872,T,1,PassT,0,202100006,109,16,125,0.872,1,PassT,1,30
202100007,2021,32,1,PLUMAS,2021-11-02,Long Valley CSD,1,Measure,B,"Shall the Long Valley Community Services District of Plumas County be authorized to adopt an increase in the District's existing special tax for the sole purpose of funding the costs of providing fire protection and prevention, rescue services and emergency medical first response to the residents of the District, which increase shall be levied annually at a rate of $170 for each taxable parcel of real property within the Long Valley Community Services District, and which will increase annually by an amount not to exceed 2%, with the annual proceeds from said increased tax in the estimated amount of $ 39,780 to be used solely for purposes stated herein and as authorized by state and county laws governing the Long Valley Community Services District, subject to the following: (1) the proposed special tax increase will become effective beginning fiscal year 2022-23 and (2) the proposed increased special tax will be levied and collected in the same manner as Plumas County property taxes, with the proceeds to be deposited into a special account for the benefit of the District with the Plumas County Auditor's office; and (3) the proposed special tax increase officer for the District detailing the amounts of tax proceeds collected and expended as required by Government Code Sections 50075.1 and 50075.3; and (4) the duration of the proposed increase in the special tax shall be indefinite until modified or repealed?",3,34,Property Tax,Safety: Multiple Emergency Services,106,23,129,0.8217054263565892,T,1,PassT,0,202100007,106,23,129,0.8217054263565892,1,PassT,1,30
202100008,2021,36,1,SAN BERNARDINO,2021-08-31,Apple Valley/County Service Area 70,1,Measure,X,"Shall the order adopted on January 20, 2021, by the Local Agency Formation Commission for San Bernardino County ordering a reorganization affecting Town of Apple Valley and County Service Area 70 and providing for the annexation to the Town of Apple Valley and detachment from County Service Area 70 of the territory described in that order and designated as LAFCO 3244, be confirmed subject to the terms and conditions specified in the order?",70,44,Ordinance,Governance: Incorporation/Formation/Annexation,1,13,14,0.07142857142857142,M,2,Fail,0,202100008,1,13,14,0.07142857142857142,2,Fail,70,40
202100009,2021,49,1,SONOMA,2021-03-02,Sonoma,0,Measure,B,"To address tourism impacts on West County communities and paid only by guests, shall the measure be adopted to add an additional 4% transient occupancy tax in West County for hotels and shortterm rentals, to support sustainable paramedic emergency medical and rescue services provided by local fire agencies, and to support West County schools and education, raising approximately $2.7 million annually, with all funds exclusively used for West County, effective until amended/repealed?",9,100,Transient Occupancy Tax,General Services,10454,6305,16759,0.6237842353362373,T,2,FailT,0,202100009,10454,6305,16759,0.6237842353362373,2,FailT,1,100
202100010,2021,10,2,FRESNO,2021-03-02,Orange Cove,0,Measure,S,"Shall the measure be adopted to improve local police/fire services, emergency response times; maintain the number of police officers; fight crime/gangs/drugs, provide firefighting equipment; establish an annual special tax, as follows: $36 parcel tax for each single-family residential and agricultural parcel; $25 each multifamily unit; $180 each commercial parcel; $275 each industrial parcel, raising about $98,000 annually for four years, with independent Citizen Oversight?",3,32,Property Tax,Safety: Police,190,118,308,0.6168831168831169,T,2,FailT,0,202100010,190,118,308,0.6168831168831169,2,FailT,1,30
