"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican  Party)","900","51.1945","Legislative District 9"
"Adams","Legislative District 9 State Representative Pos. 1","Richard Lathim","(Prefers Republican Party)","478","27.19","Legislative District 9"
"Adams","Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","380","21.6155","Legislative District 9"
"Adams","TOWN OF LIND Council Position 4","Paula Bell","","121","70.7602","TOWN OF LIND"
"Adams","TOWN OF LIND Council Position 4","John D. Claypool","","44","25.731","TOWN OF LIND"
"Adams","TOWN OF LIND Council Position 4","Richard L. Baldwin","","6","3.5088","TOWN OF LIND"
"Adams","FIRE DISTRICT 7 Proposition No. 1 Maintance and Operation Levy","Approved","","49","96.0784","FIRE DISTRICT 7"
"Adams","FIRE DISTRICT 7 Proposition No. 1 Maintance and Operation Levy","Rejected","","2","3.9216","FIRE DISTRICT 7"
"Adams","PARK AND RECREATION 3 Lind Proposition No.1 Maintenance and Operation Levy","Approved","","167","73.5683","PARK AND RECREATION 3 Lind"
"Adams","PARK AND RECREATION 3 Lind Proposition No.1 Maintenance and Operation Levy","Rejected","","60","26.4317","PARK AND RECREATION 3 Lind"
"Adams","PARK AND RECREATION 4 Ritzville Proposition No. 1 Maintenance and Operation Levy","Approved","","445","69.5313","PARK AND RECREATION 4 Ritzville"
"Adams","PARK AND RECREATION 4 Ritzville Proposition No. 1 Maintenance and Operation Levy","Rejected","","195","30.4688","PARK AND RECREATION 4 Ritzville"
"Adams","PARK AND RECREATION 2 Washtucna Proposition No. 1 Maintenance and Operation Levy","Approved","","76","64.4068","PARK AND RECREATION 2 Washtucna"
"Adams","PARK AND RECREATION 2 Washtucna Proposition No. 1 Maintenance and Operation Levy","Rejected","","42","35.5932","PARK AND RECREATION 2 Washtucna"
"Adams","CEMETERY DISTRICT 1 Proposition No. 1 Maintenance and Operation Levy","Approved","","98","85.2174","CEMETERY DISTRICT 1"
"Adams","CEMETERY DISTRICT 1 Proposition No. 1 Maintenance and Operation Levy","Rejected","","17","14.7826","CEMETERY DISTRICT 1"
"Asotin","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican  Party)","2021","53.4798","Legislative District 9"
"Asotin","Legislative District 9 State Representative Pos. 1","Richard Lathim","(Prefers Republican Party)","609","16.1154","Legislative District 9"
"Asotin","Legislative District 9 State Representative Pos. 1","Kenneth E. Caylor","(Prefers Democratic Party)","1149","30.4049","Legislative District 9"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Belinda Campbell","","351","43.2799","CITY OF CLARKSTON"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Timothy Mascioli","","58","7.1517","CITY OF CLARKSTON"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Bryce A Beeler","","135","16.6461","CITY OF CLARKSTON"
"Asotin","CITY OF CLARKSTON CITY COUNCIL MEMBER #06","Jeffry (Ty) Aiken","","267","32.9223","CITY OF CLARKSTON"
"Benton","Kennewick Public Hospital District Commissioner Pos. 4","Rick L Fehr","","2192","25.2215","Kennewick Public Hospital District"
"Benton","Kennewick Public Hospital District Commissioner Pos. 4","Don Campbell","","3700","42.5728","Kennewick Public Hospital District"
"Benton","Kennewick Public Hospital District Commissioner Pos. 4","Victor V Johnson","","2799","32.2057","Kennewick Public Hospital District"
"Benton","City of Benton City Mayor","Cecelia Hickel","","13","3.0879","City of Benton City"
"Benton","City of Benton City Mayor","Linda Lehman","","153","36.342","City of Benton City"
"Benton","City of Benton City Mayor","Steve Zetz ","","98","23.2779","City of Benton City"
"Benton","City of Benton City Mayor","Lloyd R Carnahan","","157","37.2922","City of Benton City"
"Benton","City Of Kennewick Council Position 6 At Large","Ed Pacheco","","1180","20.2575","City Of Kennewick"
"Benton","City Of Kennewick Council Position 6 At Large","Diane Crawford","","1863","31.9828","City Of Kennewick"
"Benton","City Of Kennewick Council Position 6 At Large","Paul Parish","","2782","47.7597","City Of Kennewick"
"Benton","City Of West Richland Council Pos. 1","John E. Smart","","600","35.8852","City Of West Richland"
"Benton","City Of West Richland Council Pos. 1","Fred Brink","","352","21.0526","City Of West Richland"
"Benton","City Of West Richland Council Pos. 1","Byron Martin","","720","43.0622","City Of West Richland"
"Benton","City Of West Richland Council Pos. 6","Neomi N. Garza","","493","29.3278","City Of West Richland"
"Benton","City Of West Richland Council Pos. 6","Scott Whalen","","938","55.8001","City Of West Richland"
"Benton","City Of West Richland Council Pos. 6","Braden Sloughter","","250","14.8721","City Of West Richland"
"Benton","Richland School District 400 Director No. 4","Jill M. Oldson","","2458","33.8009","Richland School District 400"
"Benton","Richland School District 400 Director No. 4","Emily Allen","","1602","22.0297","Richland School District 400"
"Benton","Richland School District 400 Director No. 4","Brett Amidan","","3212","44.1694","Richland School District 400"
"Benton","Richland School District 400 Director No. 5","Donald R. Todd","","1698","22.9088","Richland School District 400"
"Benton","Richland School District 400 Director No. 5","Gordon Comfort","","2737","36.9266","Richland School District 400"
"Benton","Richland School District 400 Director No. 5","Phyllis Strickler","","2977","40.1646","Richland School District 400"
"Chelan","PORT COMMISSIONER DIST 3 PORT COMMISSIONER - DISTRICT #3","John Farrell","","800","26.0247","PORT COMMISSIONER DIST 3"
"Chelan","PORT COMMISSIONER DIST 3 PORT COMMISSIONER - DISTRICT #3","Michael Mackey","","1468","47.7554","PORT COMMISSIONER DIST 3"
"Chelan","PORT COMMISSIONER DIST 3 PORT COMMISSIONER - DISTRICT #3","Rory Turner","","806","26.2199","PORT COMMISSIONER DIST 3"
"Chelan","CITY OF LEAVENWORTH CITY COUNCIL MEMBER #02","Raymond Laramie","","118","20.885","CITY OF LEAVENWORTH"
"Chelan","CITY OF LEAVENWORTH CITY COUNCIL MEMBER #02","Gary Thebault","","107","18.9381","CITY OF LEAVENWORTH"
"Chelan","CITY OF LEAVENWORTH CITY COUNCIL MEMBER #02","Mia Bretz","","340","60.177","CITY OF LEAVENWORTH"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #2","Larry Meyer","","203","10.967","CASCADE SCHOOL DIST NO 228"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #2","Scott Bradshaw","","540","29.1734","CASCADE SCHOOL DIST NO 228"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #2","Brenda Biebesheimer","","1108","59.8595","CASCADE SCHOOL DIST NO 228"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #4","Kristen K. Wood","","1083","60.1667","CASCADE SCHOOL DIST NO 228"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #4","Kirk D. Laird","","252","14","CASCADE SCHOOL DIST NO 228"
"Chelan","CASCADE SCHOOL DIST NO 228 SCHOOL BOARD MEMBER - DISTRICT #4","Brantley F. Bain","","465","25.8333","CASCADE SCHOOL DIST NO 228"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER # 03","Troy Hawkins","","325","20.1363","HOSPITAL DIST NO 2 LAKE CHELAN"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER # 03","Francesca Farrell","","497","30.7931","HOSPITAL DIST NO 2 LAKE CHELAN"
"Chelan","HOSPITAL DIST NO 2 LAKE CHELAN HOSPITAL COMMISSIONER # 03","Thomas C. Warren","","792","49.0706","HOSPITAL DIST NO 2 LAKE CHELAN"
"Clallam","COMMISSIONER 1 County Commissioner Dist. No. 1","Bryan D. Frazier","(Prefers Democratic Party)","1110","12.7484","COMMISSIONER 1"
"Clallam","COMMISSIONER 1 County Commissioner Dist. No. 1","Mark Ozias","(Prefers Democrat Party)","3330","38.2451","COMMISSIONER 1"
