"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","HOSPITAL DISTRICT 3 Proposition 1 Ems Levy","Approved","","925","84.1674","Public Hospital"
"Adams","HOSPITAL DISTRICT 3 Proposition 1 Ems Levy","Rejected","","174","15.8326","Public Hospital"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Jenn Stevenson","","330","32.4165","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Eleanor Brodahl","","287","28.1925","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Kevin Gilbert","","401","39.391","School"
"Adams","PARK AND RECREATION 3 Lind Proposition 1 Maintenance and Operation Levy","Approved","","138","69.3467","Park and Recreation"
"Adams","PARK AND RECREATION 3 Lind Proposition 1 Maintenance and Operation Levy","Rejected","","61","30.6533","Park and Recreation"
"Adams","PARK AND RECREATION 4 Ritzville Proposition 1 Maintenance and Operation Levy","Approved","","462","71.4065","Park and Recreation"
"Adams","PARK AND RECREATION 4 Ritzville Proposition 1 Maintenance and Operation Levy","Rejected","","185","28.5935","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Proposition 1 Maintenance and Operation Levy","Approved","","73","76.8421","Cemetery"
"Adams","CEMETERY DISTRICT 1 Proposition 1 Maintenance and Operation Levy","Rejected","","22","23.1579","Cemetery"
"Benton","Benton County Sheriff","Ken Lattin","(Prefers Republican Party)","12146","47.5866","County"
"Benton","Benton County Sheriff","Jerry Hatcher","(Prefers Republican Party)","13378","52.4134","County"
"Benton","Kennewick Ward District #2 Council Position 2 Ward 2","Shane Fast","","753","26.1277","City/Town"
"Benton","Kennewick Ward District #2 Council Position 2 Ward 2","Gregory A. Jones","","1106","38.3761","City/Town"
"Benton","Kennewick Ward District #2 Council Position 2 Ward 2","Steve Lee","","1023","35.4962","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Jim Millbauer","","1932","22.0322","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Leo A. Perales","","865","9.8643","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Bill McKay","","2656","30.2885","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Ed Pacheco","","638","7.2756","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Christy Watts","","2379","27.1297","City/Town"
"Benton","City Of Kennewick Council Position 4 At Large","Austin (Griff) Griffin","","299","3.4097","City/Town"
"Benton","City Of Richland Council Pos. 1","Rhoda Williams","","2211","25.5253","City/Town"
"Benton","City Of Richland Council Pos. 1","Kalen M Finn","","2016","23.2741","City/Town"
"Benton","City Of Richland Council Pos. 1","Bob Thompson","","3150","36.3657","City/Town"
"Benton","City Of Richland Council Pos. 1","Jess Monterey","","1285","14.8349","City/Town"
"Benton","City Of Richland Council Pos. 3","Sandra Kent","","3732","43.8904","City/Town"
"Benton","City Of Richland Council Pos. 3","Shir Regev","","2125","24.9912","City/Town"
"Benton","City Of Richland Council Pos. 3","Lloyd Becker","","2646","31.1184","City/Town"
"Benton","City Of Richland Council Pos. 4","Michael Luzzo","","1122","13.286","City/Town"
"Benton","City Of Richland Council Pos. 4","Ginger Wireman","","3688","43.6708","City/Town"
"Benton","City Of Richland Council Pos. 4","Ryan Lukson","","3635","43.0432","City/Town"
"Benton","City Of Richland Council Pos. 7","Dori Luzzo Gilmour","","3564","41.3601","City/Town"
"Benton","City Of Richland Council Pos. 7","Eldon E Eskeli","","722","8.3788","City/Town"
"Benton","City Of Richland Council Pos. 7","Michael Alvarez","","3525","40.9075","City/Town"
"Benton","City Of Richland Council Pos. 7","Frank Boasen","","806","9.3536","City/Town"
"Benton","City Of West Richland Council Pos. 1","Willliam (Dan) White","","558","24.3137","City/Town"
"Benton","City Of West Richland Council Pos. 1","Robert Perkes","","646","28.1481","City/Town"
"Benton","City Of West Richland Council Pos. 1","John E. Smart","","1091","47.5381","City/Town"
"Benton","City Of West Richland Council Pos. 6","Fred Brink","","937","40.5277","City/Town"
"Benton","City Of West Richland Council Pos. 6","Steven Shupe","","481","20.8045","City/Town"
"Benton","City Of West Richland Council Pos. 6","Kate Moran","","894","38.6678","City/Town"
"Chelan","CITY OF CHELAN CITY COUNCIL MEMBER #06","Cameron Skip Morehouse","","389","40.6904","City/Town"
"Chelan","CITY OF CHELAN CITY COUNCIL MEMBER #06","Andrew Baker","","106","11.0879","City/Town"
"Chelan","CITY OF CHELAN CITY COUNCIL MEMBER #06","Tim Hollingsworth","","461","48.2218","City/Town"
"Chelan","CITY OF ENTIAT CITY COUNCIL MEMBER #01","Richard E Crump","","17","7.9439","City/Town"
